Progress,Duration (in seconds),Finished,S1_1,S1_gen_4,S1_gen_5,S1_gen_6,S1_gen_7,S1_gen_8,S1_A1_7,S1_A1_8,S1_A1_9,S1_A2_7,S1_A2_8,S1_A2_9,S1_A3_7,S1_A3_8,S1_A3_9,S1_A4_7,S1_A4_8,S1_A4_9,S1_A5_7,S1_A5_8,S1_A5_9,S2_1,S2_gen_4,S2_gen_5,S2_gen_6,S2_gen_7,S2_gen_8,S2_A1_7,S2_A1_8,S2_A1_9,S2_A2_7,S2_A2_8,S2_A2_9,S2_A3_7,S2_A3_8,S2_A3_9,S2_A4_7,S2_A4_8,S2_A4_9,S2_A5_7,S2_A5_8,S2_A5_9,S3_1,S3_gen_4,S3_gen_5,S3_gen_6,S3_gen_7,S3_gen_8,S3_A1_7,S3_A1_8,S3_A1_9,S3_A2_7,S3_A2_8,S3_A2_9,S3_A3_7,S3_A3_8,S3_A3_9,S3_A4_7,S3_A4_8,S3_A4_9,S3_A5_7,S3_A5_8,S3_A5_9,S4_1,S4_gen_4,S4_gen_5,S4_gen_6,S4_gen_7,S4_gen_8,S4_A1_7,S4_A1_8,S4_A1_9,S4_A2_7,S4_A2_8,S4_A2_9,S4_A3_7,S4_A3_8,S4_A3_9,S4_A4_7,S4_A4_8,S4_A4_9,S4_A5_7,S4_A5_8,S4_A5_9,S5_1,S5_gen_4,S5_gen_5,S5_gen_6,S5_gen_7,S5_gen_8,S5_A1_7,S5_A1_8,S5_A1_9,S5_A2_7,S5_A2_8,S5_A2_9,S5_A3_7,S5_A3_8,S5_A3_9,S5_A4_7,S5_A4_8,S5_A4_9,S5_A5_7,S5_A5_8,S5_A5_9,S6_1,S6_gen_4,S6_gen_5,S6_gen_6,S6_gen_7,S6_gen_8,S6_A1_7,S6_A1_8,S6_A1_9,S6_A2_7,S6_A2_8,S6_A2_9,S6_A3_7,S6_A3_8,S6_A3_9,S6_A4_7,S6_A4_8,S6_A4_9,S6_A5_7,S6_A5_8,S6_A5_9,S7_1,S7_gen_4,S7_gen_5,S7_gen_6,S7_gen_7,S7_gen_8,S7_A1_7,S7_A1_8,S7_A1_9,S7_A2_7,S7_A2_8,S7_A2_9,S7_A3_7,S7_A3_8,S7_A3_9,S7_A4_7,S7_A4_8,S7_A4_9,S7_A5_7,S7_A5_8,S7_A5_9,S8_1,S8_gen_4,S8_gen_5,S8_gen_6,S8_gen_7,S8_gen_8,S8_A1_7,S8_A1_8,S8_A1_9,S8_A2_7,S8_A2_8,S8_A2_9,S8_A3_7,S8_A3_8,S8_A3_9,S8_A4_7,S8_A4_8,S8_A4_9,S8_A5_7,S8_A5_8,S8_A5_9,S9_1,S9_gen_4,S9_gen_5,S9_gen_6,S9_gen_7,S9_gen_8,S9_A1_7,S9_A1_8,S9_A1_9,S9_A2_7,S9_A2_8,S9_A2_9,S9_A3_7,S9_A3_8,S9_A3_9,S9_A4_7,S9_A4_8,S9_A4_9,S9_A5_7,S9_A5_8,S9_A5_9,S10_1,S10_gen_4,S10_gen_5,S10_gen_6,S10_gen_7,S10_gen_8,S10_A1_7,S10_A1_8,S10_A1_9,S10_A2_7,S10_A2_8,S10_A2_9,S10_A3_7,S10_A3_8,S10_A3_9,S10_A4_7,S10_A4_8,S10_A4_9,S10_A5_7,S10_A5_8,S10_A5_9,S11_1,S11_gen_4,S11_gen_5,S11_gen_6,S11_gen_7,S11_gen_8,S11_A1_7,S11_A1_8,S11_A1_9,S11_A2_7,S11_A2_8,S11_A2_9,S11_A3_7,S11_A3_8,S11_A3_9,S11_A4_7,S11_A4_8,S11_A4_9,S11_A5_7,S11_A5_8,S11_A5_9,S12_1,S12_gen_4,S12_gen_5,S12_gen_6,S12_gen_7,S12_gen_8,S12_A1_7,S12_A1_8,S12_A1_9,S12_A2_7,S12_A2_8,S12_A2_9,S12_A3_7,S12_A3_8,S12_A3_9,S12_A4_7,S12_A4_8,S12_A4_9,S12_A5_7,S12_A5_8,S12_A5_9,S13_1,S13_gen_4,S13_gen_5,S13_gen_6,S13_gen_7,S13_gen_8,S13_A1_7,S13_A1_8,S13_A1_9,S13_A2_7,S13_A2_8,S13_A2_9,S13_A3_7,S13_A3_8,S13_A3_9,S13_A4_7,S13_A4_8,S13_A4_9,S13_A5_7,S13_A5_8,S13_A5_9,S14_1,S14_gen_4,S14_gen_5,S14_gen_6,S14_gen_7,S14_gen_8,S14_A1_7,S14_A1_8,S14_A1_9,S14_A2_7,S14_A2_8,S14_A2_9,S14_A3_7,S14_A3_8,S14_A3_9,S14_A4_7,S14_A4_8,S14_A4_9,S14_A5_7,S14_A5_8,S14_A5_9,S15_1,S15_gen_4,S15_gen_5,S15_gen_6,S15_gen_7,S15_gen_8,S15_A1_7,S15_A1_8,S15_A1_9,S15_A2_7,S15_A2_8,S15_A2_9,S15_A3_7,S15_A3_8,S15_A3_9,S15_A4_7,S15_A4_8,S15_A4_9,S15_A5_7,S15_A5_8,S15_A5_9,S16_1,S16_gen_4,S16_gen_5,S16_gen_6,S16_gen_7,S16_gen_8,S16_A1_7,S16_A1_8,S16_A1_9,S16_A2_7,S16_A2_8,S16_A2_9,S16_A3_7,S16_A3_8,S16_A3_9,S16_A4_7,S16_A4_8,S16_A4_9,S16_A5_7,S16_A5_8,S16_A5_9,S17_1,S17_gen_4,S17_gen_5,S17_gen_6,S17_gen_7,S17_gen_8,S17_A1_7,S17_A1_8,S17_A1_9,S17_A2_7,S17_A2_8,S17_A2_9,S17_A3_7,S17_A3_8,S17_A3_9,S17_A4_7,S17_A4_8,S17_A4_9,S17_A5_7,S17_A5_8,S17_A5_9,S18_1,S18_gen_4,S18_gen_5,S18_gen_6,S18_gen_7,S18_gen_8,S18_A1_7,S18_A1_8,S18_A1_9,S18_A2_7,S18_A2_8,S18_A2_9,S18_A3_7,S18_A3_8,S18_A3_9,S18_A4_7,S18_A4_8,S18_A4_9,S18_A5_7,S18_A5_8,S18_A5_9,demo,age,gender,ethnicity,ethnicity_6_TEXT,education,ses,S1A,S2A,S3A,S4A,S5A,S6A,S7A,S8A,S9A,S10A,S11A,S12A,S13A,S14A,S15A,S16A,S17A,S18A
100,1064,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,recount the money,put his own money in to cover the missing amount,talk to the rest of the staff working to come up with ideas,make everyone working chip in to make it right,call his boss and tell him what happened,100,90,95,60,77,77,86,87,87,60,61,61,100,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,leave with him,purchase another ticket,sneak him in a side door,find a scalper and get another ticket,wait for him outside while he goes home,98,99,97,100,100,100,94,26,81,87,55,85,86,86,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,bust the window,call the police,go inside and get someone to call the owner to come out,get someone to help her get the dog out,call someone to unlock the car,91,96,90,53,56,56,77,75,79,79,89,86,82,82,81,,,,,,,,,,,,,,,,,,,,,,39,call the taxi company,tell the bride the truth,tell the groom,go to the jewelry store to get another one,call a friend,100,100,100,100,100,100,100,100,100,4,27,12,11,11,11,100,Have friends check on him,call other family members to help,get a bigger apartment ,move in with his father,hire a nurse to sit with him,100,96,94,95,96,96,72,71,76,74,90,92,49,53,55,,,,,,,,,,,,,,,,,,,,,,0,Yell for help,Keep trying to get his arm out,See if he can move around any to help,use her phone to shine a light to find help,try to find some kind of cover or shade that you can move to give them shade,83,95,87,100,89,91,85,87,69,91,85,80,72,85,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,Female,White / Caucasian,,Some College,Rung 6,,,stage a robbery,,,,go without Ted,,,,light a fire under the car,,run away,check in on his father daily,,yell at Todd for getting stuck,,
100,732,TRUE,0,Take a higher paying job,Take a second job,Borrow the money from a bank,Borrow the money from a friend,Seek generic drugs / less expensive treatment,0,100,100,0,100,100,0,95,80,0,80,75,0,75,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,Call her mom and ask her to bring it to school,Explain to the teacher what happened,Try to complete an assignment at school that morning,Ask her mom to write a note explaining what happened,Don't turn in the assignment,50,100,100,80,85,100,75,100,70,80,70,100,100,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Break the window to free the dog,Go inside the mall and have them page the owner,Called 911,Remained with the car to try to assist the dog,Walked away,10,50,40,5,100,100,15,100,100,13,100,100,24,20,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,Inform the passengers,Call to shore and ask for additional help,Consult other crew members for guidance,Ration remaining supplies,Consult offshore crew for guidance on how to respond,15,100,100,100,100,100,25,80,60,50,100,100,33,100,100,0,Not gotten her arm struck,Tried to seek water and help,Continue calling for her,Try to get her friend's arm unstuck,Try to preserve all resources,0,100,100,0,100,100,50,100,100,0,100,100,0,100,100,50,Left without asking his friend to take over,Continue calling his boss,Closed the store and left,Missed his court date,Call the court and ask for an extension,50,85,100,100,100,100,50,85,100,50,30,100,40,35,20,,,,,,,,,,,,,,,,,,,,,,,29,Female,White / Caucasian,,"Professional Degree (MD, JD, etc.)",Rung 7,go on strike for better wages,,,,bring in the assignment the next day,,,,,,slash the tires,,,,organize a fishing crew,get her arm stuck in solidarity,ask a friend to take over,
100,1609,TRUE,11,borrow money from a friend,borrow money from a family member,take out a loan,see if the pharmacist could offer assistance,offer free work in exchange for the medication,81,83,88,91,94,96,92,85,87,92,100,100,100,100,100,,,,,,,,,,,,,,,,,,,,,,0,talk to the manager,talk to his coworkers,pay the money,work overtime to account for the money,ask his coworkers if they would be willing to split the cost for the missing money,50,85,95,83,93,92,52,53,85,51,52,70,54,61,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,don't panic,huddle up together,try to keep one another warm with body heat,try to locate more food,work together as a team to get help,64,82,82,68,100,100,74,92,100,50,96,100,60,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,call 911,try to locate the owners of the vehicle,wait for help,ask someone to assist her with help,stay with the dog until the situation is resolved,99,98,97,90,95,96,94,100,97,93,93,98,94,92,95,,,,,,,,,,,,,,,,,,,,,,100,Get someone to team up with him to find the ring,Leave to try to locate the taxi,Try to stall the wedding,Tell his sister the truth but ask that she not freak out,Get a temporary ring,92,100,94,99,93,96,50,63,52,50,40,33,70,67,76,,,,,,,,,,,,,,,,,,,,,,0,offer small portions of whatever food supply they have left,try to stay afloat,don't panic,try to find shelter,focus on locating food,53,20,100,50,100,99,5,100,100,50,100,100,50,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,Female,Black / African American,,Some College,Rung 3,commit credit card fraud,,overcharge the next customers,,,throw away all of the food,,,,,check that the doors are locked,,call the taxi company,,serve engine fuel to the passengers,,,
100,801,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,tell teacher what happened,bring assignment tomorrow,not go to class,make excuse,ask for extra credit,94,94,95,81,91,62,31,30,33,71,41,50,71,71,72,81,call for help,conserve food,conserve water,check supplies,check on others,89,90,91,90,90,91,92,93,94,91,92,92,94,94,97,,,,,,,,,,,,,,,,,,,,,,31,alert family,do nothing,ask him if he has right bag,give him a look,say hi,41,83,73,70,62,77,50,60,61,69,59,69,87,88,89,,,,,,,,,,,,,,,,,,,,,,1,say no,not steal,just give ride,ask for money,point at someone else to help,91,91,91,72,95,95,41,59,15,60,60,60,81,82,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87,let people know what is going on,save supplies,check on others,check on boat,check supplies,90,90,94,91,91,91,92,94,94,95,95,95,96,97,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,help him,keep going,call for help,ask if he needs help,ignore,70,94,80,61,7,29,80,94,93,72,93,93,51,6,5,,57,Female,White / Caucasian,,College Graduate (4 year),Rung 5,,,,,quickly try to redo the assignment,collect wood to start a fire,,read his mind,,steal whatever she has on her,,,,,request supplies to be airdropped,,,hide him in the snow
100,1433,TRUE,,,,,,,,,,,,,,,,,,,,,,100,call friend,call relative,call uber,cancel trip,wait for car to be towed,100,100,100,100,100,100,100,100,100,59,100,79,100,100,100,,,,,,,,,,,,,,,,,,,,,,92,renew membership,go home,wait outside for friend,borrow phone to call,go to office to call,46,100,100,50,42,33,100,100,99,74,100,100,100,100,100,100,ask for more time,go home,do nothing,talk to teacher,call mother,100,100,100,81,93,95,60,60,60,98,100,100,100,100,100,100,nothing,ration food,dont eat for one day,try to find way back,sleep,45,46,48,83,98,100,50,90,90,82,100,100,19,18,19,91,nothing,buy another ticket,go to event half the time,ask office what to do,go home,83,83,85,70,100,100,60,100,100,95,100,100,50,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,call emergency supply,have ship evacuated,do nothing,serve whatever food they have,ration food,100,100,100,87,94,100,52,1,0,89,59,52,91,92,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,Female,White / Caucasian,,College Graduate (4 year),Rung 6,,reschedule for a later flight,,pay for a day-pass to the gym,quickly try to redo the assignment,steal all of the food and water,give her ticket to Ted,,,,,,,,serve engine fuel to the passengers,,,
100,1296,TRUE,,,,,,,,,,,,,,,,,,,,,,0,get a new flight,wait until a new flight becomes available ,he can have more control for himself,he can also try to communicate with the airline,He can ask for a refund for a new flight,100,100,100,81,75,79,68,68,74,96,92,88,88,91,89,0,he could have talked with his manager ,he can use his money to cover the pay,he can say there was not enough to cover the cost,he can say there was a theft,he can say that portion of the money went missing.,85,84,85,96,82,89,76,81,80,53,54,53,32,19,43,,,,,,,,,,,,,,,,,,,,,,0,she could have said that she forgot,she could have said that her dog ate her homework,she could have said that her mom took her homework out,she could have said that she misplaced her homework,she could have said that she left it at home,63,75,69,25,8,54,90,90,91,82,79,88,86,83,80,98,he could have waited,he could have used other sources to get water,he could have talked with his friends to find a solution,he can try to think of a new solution ,He can look around for other sources of food,76,76,75,60,95,71,71,83,72,83,70,84,83,70,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,Andy could have gotten a new place ,Andy could have asked for a place for their father to stay,Andy could have paid someone to take care of their father,Andy could have tried to bring themselves to put their father in a retirement home,Andy needed to ask their Father what they wanted to do,83,88,85,72,75,78,87,85,100,81,97,91,69,99,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,He could talk with the lawyer about a new meeting,he could say that his boss was late,he could negotiate with his lawyer,he needs to say that there was an issue at work,he can also say that he was busy at work,87,83,87,84,87,84,90,89,89,89,89,90,87,86,85,,,,,,,,,,,,,,,,,,,,,,,25,Male,Hispanic / Latino,,College Graduate (4 year),Rung 6,,demand that the airline delays the flight,get an advance payday loan,,hypnotize the teacher,search for a water source,,,,,,,,check in on his father daily,,,tell his lawyer that he’s sick,
100,447,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,tell someone,ask the girl,alert the family,tell the lifeguard,take a picture,27,37,45,16,29,51,26,44,52,18,31,54,18,36,57,27,call the police,get off the road,follow closely but not that close,try to pull up next to him,get his plate number,27,51,52,31,37,51,33,38,49,43,53,62,9,41,36,,,,,,,,,,,,,,,,,,,,,,49,do nothing,fix it,get help,ask ,wait,23,40,48,32,25,38,27,44,38,12,24,41,12,28,41,,,,,,,,,,,,,,,,,,,,,,45,come clean,call the taxi company,get a new ring,tell his sister,find a replacement,29,42,48,59,53,56,23,32,48,13,22,33,24,12,28,,,,,,,,,,,,,,,,,,,,,,34,tell someone,get help,fix it,ask for help,do nothing,31,46,42,17,26,35,27,41,34,21,44,36,27,46,42,16,break it,get help,go down the mtn and get help,ask him what he wants.,leave him alone. ,23,41,39,24,49,52,24,35,44,15,41,32,14,42,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,Male,White / Caucasian,,High School or equivalent,Rung 6,,,,,,,,wave to the parents,tailgate the car,,call emergency services,,borrow their mom’s wedding ring,,request supplies to be airdropped,saw Todd’s arm off,,
100,1675,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,Help Ted to sneak in,Call Ted's home to bring the ticket,Buy another ticket in the entrance,Decide not to go if Ted isn't,Blame Ted for inconveniencing both of them ,69,3,38,100,100,100,100,100,100,20,100,71,99,3,100,100,Confront him to confirm,Call 911,Ask for what he/she is looking for,Call other family members,Wait and see what he/she wants to take,100,100,100,100,100,100,100,100,98,100,100,100,100,100,99,0,Slowly slow down till the vehicle ahead is out of sight.,Call 911 and report the driver ahead,Be extra alert for any surprises or emergency braking,Buckle up,Maintain a safe distant,50,100,50,98,100,100,51,100,51,100,100,100,28,100,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,Ask for support from relatives,Ask for charity support,Find an affordable retirement home,Ask for help from strangers,Look for a free home retirement,100,100,100,100,100,100,100,100,100,52,100,82,100,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Call the boss to find out how far he is,Close the shop and leave,Call the court and explain,Call the police and explain,Tell a family/friend/relative to look out while he goes,100,100,100,100,100,100,2,7,8,70,100,39,100,100,100,0,Stop and check if she/he is breathing,Call 911,Alert people nearby,Check what happened to the competitor maybe he/she was attacked,Be careful on her sled herself,100,100,100,100,100,100,100,100,100,73,61,53,100,99,100,,40,Female,Hispanic / Latino,,College Graduate (4 year),Rung 5,,,,,,,go without Ted,keep an eye on him,ram into the car,,,,,get another job,,,stage a break-in at the store,leave her dogs with him
100,1310,TRUE,25,Get a second job.,Work out something with the doctor.,Ask family and/or friends for help.,Meet with the insurance company.,Get a loan or refinance their home.,50,100,100,75,100,100,75,100,100,100,100,100,50,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Call her mom.,Accept a bad grade.,Cheat off of a friend.,Strike a deal with the teacher.,Set off a fire alarm.,50,100,100,75,100,100,25,0,50,75,100,100,5,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Call the police.,Go out to the water and ask the parents.,Ask the teenager if they are part of the family.,Yell at the teenager and cause a commotion.,Chase the teenager away.,5,50,10,75,100,75,75,100,75,25,25,25,10,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Call the taxi company.,Blame it on a hole in his jacket pocket.,Save money for a replacement.,Pretend that he never received the ring.,Make a joke about it.,100,100,100,5,0,5,75,100,75,5,0,5,25,50,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,Break her friend's arm off.,Stay and hope for the best.,Try and make a fire.,"Write the word ""help"" in the sand.",Prepare to die with her friend.,10,100,5,25,50,25,75,100,75,75,100,75,5,5,5,,,,,,,,,,,,,,,,,,,,,,0,Stop and help her competitor.,Tell an organizer what had happened.,Forfeit the race.,Ask another competitor to help.,Pretend she didn't see anything.,75,100,75,75,100,75,50,100,75,25,50,25,5,0,5,,49,Male,White / Caucasian,,College Graduate (4 year),Rung 6,start a fundraiser,,,,hypnotize the teacher,,,wave to the parents,,,,,blame it on the maid of honor,,,hike until she finds cell service,,finish the race
100,1291,TRUE,25,Ask for a loan to buy the medication,Ask for a pay raise to avoid striking,See if he can change his insurance ,Save money in other ways,Get a second job to have more money,85,99,98,15,96,96,10,97,95,85,98,98,25,95,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,Explain the situation to her teacher,Just not turn in anything,Turn in the assignment late,Turn in the assignment late with a note from her mother,Have her mother email the teacher explaining the situation ,94,100,100,39,94,70,92,96,97,85,99,95,80,99,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Ask if the teenager was part of the family,Alert the family,Make other noises to get the teenager away,Say she'll call the cops,Take the teenager's photo for evidence,71,97,97,80,99,95,30,93,45,40,98,95,5,45,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,Looked for the owner,Broken the window so the dog got air,Reported the license plate to get the owner's attention,Checked to see if the doors were unlocked to roll down the window,Called animal control or non-emergent police,20,100,31,5,35,15,20,95,70,25,80,70,10,94,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,Looked for water nearby,Went to another area to call for help,See if she could move the rocks even a little,Find something to loosen the arm from the crevice,Break the arm to remove it more easily ,60,100,99,65,100,99,80,100,100,90,100,100,40,93,91,,,,,,,,,,,,,,,,,,,,,,0,Stop and help the other person,Get someone else to help the other person,Not worry about her college tuition and try to get scholarships,Take out loans for college,Grab the person and put them on her sled and hurry faster to the end.,10,100,97,15,96,96,0,90,80,15,95,95,1,100,90,,36,Female,White / Caucasian,,Master's Degree (MS),Rung 5,go on strike for better wages,,,,call her mom,,,make cat noises at him until he leaves,,,pour water on the car to cool it,,,,,saw Todd’s arm off,,finish the race
100,1635,TRUE,25,buy the drugs illegally,go broke paying for the meds,take out a second mortgage to pay for the meds,let his wife go without her meds,ask the doctor for cheaper options,0,0,5,79,100,82,89,95,100,0,0,5,39,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,build a fire,huddle together,use gps to find their way,call for help,go hunting for more food,17,100,100,63,100,100,17,100,100,17,100,100,0,84,86,,,,,,,,,,,,,,,,,,,,,,0,ask the kid,ask the family,ignore the situation,call the police,start yelling at the kid,67,87,83,5,100,100,0,68,100,0,55,50,100,0,25,0,call the police,pass the car,stop and wait for the car to get farther away,ram the car off the road,shoot out the tires,22,100,100,5,97,100,0,100,100,57,0,0,8,6,0,29,say no to her,take her to where she's going,pretend he doesn't speak english & understand her,take her just as far as he's going,act creepy so she doesn't want a ride,40,96,98,10,55,22,3,10,1,7,97,47,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,ration food,take a life boat and leave,let people starve,tell people to start swimming,kill people and eat them,23,100,100,49,2,0,77,0,3,86,2,0,11,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,Female,White / Caucasian,,Master's Degree (MS),Rung 6,switch insurance plans,,,,,boost morale with a three-legged race,,tackle him and hold him down,tailgate the car,turn invisible,,,,,throw disobedient passengers off the boat,,,
100,382,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,stage the robbery,be honest,recount again,put in his own money,have everyone chip in o balance the register,71,74,72,80,76,76,77,75,77,69,71,72,64,65,74,,,,,,,,,,,,,,,,,,,,,,52,weigh out her options,apologize for anything offensive,look at her close friends for help,ask family for help,research,56,53,64,59,49,68,78,76,79,60,71,62,48,60,68,,,,,,,,,,,,,,,,,,,,,,72,i dont know,maybe ask a guy out,play a sport,go to the gym,get a new hobby,61,67,65,66,69,68,65,65,66,69,71,70,77,74,78,67,look at her past to change the future,read a book,research the situation,go to the store,ask a counselor,65,59,70,76,73,78,69,70,69,68,68,69,73,70,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,call his boss again,call someone to cover him,just leave,quit,call the court,75,75,77,75,76,75,70,71,74,72,69,70,69,67,74,69,look at the short term effects,look at the long term effects,see how it will effect her,look at her options,test the waters,69,51,71,55,64,74,52,57,60,57,53,57,70,52,46,,29,Male,White / Caucasian,,Some College,Rung 5,,,stage a robbery,,quickly try to redo the assignment,,try to buy a ticket off another person,make cat noises at him until he leaves,,,,,,,,,tell his lawyer that he’s sick,hide him in the snow
100,655,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Put his own money in the register,Tell his boss about the discrepenacy,Work late to figure out the discrepency,fudge the numbers so there is no discrepency,just not say anything,68,100,71,51,100,100,51,100,100,29,0,46,50,20,35,0,Ask a gym attendent to let her friend know,Ask to be temporarily allowed in to let her friend know,renew her membership,ask another gym attendee to let her friend know,gone back to work and then texted her friend,59,100,100,51,100,100,38,100,100,30,100,62,80,95,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Leave the concert,Buy a ticket for Ted last minute,Pull up the tickets on a phone,Talk to the box office to see if Ted can still get in,Get a scapled ticket for Ted,19,100,32,17,100,41,60,100,93,20,100,63,10,90,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,throw the knife away,go back and check the knife into luggage,go back and mail the knife to Chicago,go back and put the knife in his vechile,sell the knife to another person at the airport,20,100,92,71,100,89,52,100,91,51,100,80,8,91,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,rasion food,tell passengers there is no more food,find nontraditional but edible foods stuff,not serve anything,ask passengers to share the food they have,81,100,100,71,100,80,17,100,74,51,70,70,50,100,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Leave her competitor,Alert medical personnel,Alert another person running the event,Drag the competitor behind her sled,Kill her competitor,10,0,5,71,100,100,69,100,100,4,0,0,0,0,0,,29,Female,White / Caucasian,,Doctoral Degree (PhD),Rung 6,,,stage a robbery,pull the fire alarm,,,go without Ted,,,,,threaten security with the knife,,,serve engine fuel to the passengers,,,carry her competitor on her sled
