Progress,Duration (in seconds),Finished,ResponseId,S1_1,S2_1,S3_1,S4_1,S5_1,S6_1,S7_1,S8_1,S9_1,S10_1,S11_1,S12_1,S13_1,S14_1,S15_1,S16_1,S17_1,S18_1,demo,age,gender,ethnicity,ethnicity_6_TEXT,education,ses,S1A,S2A,S3A,S4A,S5A,S6A,S7A,S8A,S9A,S10A,S11A,S12A,S13A,S14A,S15A,S16A,S17A,S18A
100,911,TRUE,R_2VlLBcQNyNn30rT,43,44,43,43,,42,,,42,43,,43,,43,43,,42,43,,28,Male,White / Caucasian,,College Graduate (4 year),Rung 2,take out a loan,call a taxi,overcharge the next customers,crawl past the front desk,,huddle to conserve energy,,,take a detour at the next exit,turn invisible,,take a train instead,,buy his father a tent,sell all the food to the highest bidder,,lock up the store,call for help
100,325,TRUE,R_djavZMHNUf2xa6J,91,69,81,,96,91,,91,92,,,92,87,,41,,78,74,,30,Male,Hispanic / Latino,,College Graduate (4 year),Rung 6,switch insurance plans,try to convince a passing driver to trade cars,sell one of his kidneys,,call her mom,search for a water source,,tackle him and hold him down,honk at the driver until they pull over,,,store the knife in an airport locker,tell his sister as soon as possible,,throw disobedient passengers off the boat,,leave the store unattended,leave her dogs with him
100,1096,TRUE,R_2e4lnNLVtWkvjNE,0,50,0,,,0,,75,50,,,100,0,0,,0,0,0,,72,Male,White / Caucasian,,Master's Degree (MS),Rung 5,commit credit card fraud,reschedule for a later flight,stage a robbery,,,steal all of the food and water,,keep an eye on him,pull over and call 911,,,ask to check the knife,blame it on the maid of honor,pitch his situation to a reality TV network,,give Todd her water,ask a friend to take over,steal his dogs for extra speed
100,244,TRUE,R_4PdKK5hiTsp9sv7,20,0,100,80,,0,0,0,0,,100,0,,30,,,,0,,60,Female,White / Caucasian,,"Professional Degree (MD, JD, etc.)",Rung 4,search for the medication on the black market,demand that the airline delays the flight,explain the situation to his boss,borrow someone's phone,,boost morale with a three-legged race,pretend they are conjoined twins,make cat noises at him until he leaves,honk an angry message in Morse code,,ask to use the mall's loudspeaker,hide the knife in someone else's bag,,get another job,,,,carry her competitor on her sled
100,760,TRUE,R_21FcPhzl4KdZYLF,19,,8,76,6,,93,,19,6,2,,3,60,7,5,,,,55,Male,Asian / Pacific Islander,,Some College,Rung 3,go on strike for better wages,,get an advance payday loan,pay for a day-pass to the gym,copy a friend's assignment,,go without Ted,,tailgate the car,call her a cab,slash the tires,,run away,move into his father’s apartment,request supplies to be airdropped,saw Todd’s arm off,,
100,561,TRUE,R_3HU2yyYt3NFtkK8,,,0,50,,0,0,60,,0,0,0,,,50,0,50,50,,25,Male,White / Caucasian,,High School or equivalent,Rung 1 (Bottom Rung),,,pay the money from his own wallet,renew her membership,,throw away all of the food,teleport into the concert,wave to the parents,,steal whatever she has on her,check that the doors are locked,threaten security with the knife,,,ration their food,give Todd her water,tell his lawyer that he’s sick,finish the race
100,617,TRUE,R_3siZc40omg2bYNS,,0,,,65,3,,93,0,2,,,95,0,92,10,0,15,,68,Female,White / Caucasian,,Some College,Rung 5,,steal a passing driver's car,,,quickly try to redo the assignment,steal all of the food and water,,ask the parents if they know him,ram into the car,take her to his house but no further,,,call the taxi company,abandon his father,organize a fishing crew,yell at Todd for getting stuck,stage a break-in at the store,hide him in the snow
100,885,TRUE,R_2rN5EywLPjQA5xh,,3,,14,,100,,12,1,0,81,91,,1,1,,9,7,,39,Male,White / Caucasian,,College Graduate (4 year),Rung 7,,try to convince a passing driver to trade cars,,crawl past the front desk,,search for a water source,,tackle him and hold him down,tailgate the car,yell in gibberish until she leaves,call emergency services,ask to check the knife,,pitch his situation to a reality TV network,sell all the food to the highest bidder,,lock up the store,call for help
100,491,TRUE,R_1r8jQ1KJrUsFZSg,55,3,56,,73,,0,62,66,45,,,36,22,,50,57,,,22,Male,Hispanic / Latino,,Some College,Rung 1 (Bottom Rung),go on strike for better wages,call a taxi,stage a robbery,,bring in the assignment the next day,,teleport into the concert,make cat noises at him until he leaves,pull over and call 911,call her a cab,,,run away,check in on his father daily,,give Todd her water,tell his lawyer that he’s sick,
100,735,TRUE,R_RkQEIM4mLkZutot,93,,1,4,1,1,2,,,,96,66,1,,82,66,,3,,34,Female,White / Caucasian,,College Graduate (4 year),Rung 2,switch insurance plans,,overcharge the next customers,pull the fire alarm,hypnotize the teacher,steal all of the food and water,go without Ted,,,,check that the doors are locked,pretend the knife is part of a hip replacement,steal someone else’s ring,,organize a fishing crew,leave Todd to save herself,,steal his dogs for extra speed
100,224,TRUE,R_3g8jJVW1zmrFv7K,0,,,0,,0,0,,,,0,0,0,0,0,0,0,0,,41,Male,White / Caucasian,,College Graduate (4 year),Rung 6,start a fundraiser,,,borrow someone's phone,,throw away all of the food,give her ticket to Ted,,,,light a fire under the car,store the knife in an airport locker,tell his sister as soon as possible,get another job,ration their food,get her arm stuck in solidarity,ask a friend to take over,hide him in the snow
100,881,TRUE,R_1Qz9ikKwhCGRK7M,,66,74,,61,,,52,79,24,,49,74,36,79,,29,73,,29,Female,White / Caucasian,,College Graduate (4 year),Rung 5,,take a public bus,sell one of his kidneys,,lie that her house burnt down,,,keep an eye on him,honk an angry message in Morse code,steal whatever she has on her,,hide the knife in someone else's bag,borrow their mom’s wedding ring,move into his father’s apartment,serve engine fuel to the passengers,,call his lawyer,finish the race
100,242,TRUE,R_3FWIE097FrdF6LA,80,,100,10,100,,,0,0,0,80,,,0,85,0,0,,,54,Female,White / Caucasian,,Some College,Rung 3,search for the medication on the black market,,pay the money from his own wallet,pay for a day-pass to the gym,quickly try to redo the assignment,,,wave to the parents,ram into the car,take her to his house but no further,ask to use the mall's loudspeaker,,,abandon his father,request supplies to be airdropped,yell at Todd for getting stuck,leave the store unattended,
100,148,TRUE,R_1qVVWC6V30NoNWl,,17,100,50,,0,73,,,0,0,8,81,0,,0,,20,,38,Male,White / Caucasian,,High School or equivalent,Rung 3,,steal a passing driver's car,get an advance payday loan,renew her membership,,boost morale with a three-legged race,try to buy a ticket off another person,,,turn invisible,slash the tires,threaten security with the knife,call the taxi company,buy his father a tent,,saw Todd’s arm off,,carry her competitor on her sled
100,137,TRUE,R_1ps10vEkMVQtPx0,93,100,,,25,87,10,36,36,,,85,9,,7,,0,24,,30,Male,White / Caucasian,,College Graduate (4 year),Rung 3,take out a loan,reschedule for a later flight,,,copy a friend's assignment,collect wood to start a fire,steal someone else's ticket,ask the parents if they know him,honk at the driver until they pull over,,,take a train instead,blame it on the maid of honor,,throw disobedient passengers off the boat,,stage a break-in at the store,leave her dogs with him
100,204,TRUE,R_24w67SiVby28dsl,50,0,,5,,0,0,0,,0,0,50,0,,20,,0,,,36,Male,White / Caucasian,,High School or equivalent,Rung 4,commit credit card fraud,demand that the airline delays the flight,,lie that she left her card inside,,steal all of the food and water,pretend they are conjoined twins,read his mind,,refuse to drive her,pour water on the car to cool it,ask to check the knife,blame it on the maid of honor,,organize a fishing crew,,call his lawyer,
100,200,TRUE,R_3EYBQV7ZTOcKv8s,0,,100,30,0,0,,0,0,,,0,0,0,,95,,50,,40,Male,White / Caucasian,,Some College,Rung 3,commit credit card fraud,,explain the situation to his boss,renew her membership,call her mom,boost morale with a three-legged race,,keep an eye on him,take a detour at the next exit,,,hide the knife in someone else's bag,run away,buy his father a tent,,hike until she finds cell service,,finish the race
100,307,TRUE,R_3fBIeWVUvZBiw3p,,0,0,,61,,0,,0,0,0,,,10,0,0,10,0,,71,Male,White / Caucasian,,College Graduate (4 year),Rung 6,,demand that the airline delays the flight,stage a robbery,,quickly try to redo the assignment,,steal someone else's ticket,,honk an angry message in Morse code,yell in gibberish until she leaves,ask to use the mall's loudspeaker,,,move into his father’s apartment,serve engine fuel to the passengers,yell at Todd for getting stuck,tell his lawyer that he’s sick,steal his dogs for extra speed
100,622,TRUE,R_2VxozxkFRUittts,,100,100,85,,,20,10,0,0,100,,90,,,50,90,0,,37,Male,White / Caucasian,,High School or equivalent,Rung 3,,take a public bus,explain the situation to his boss,pay for a day-pass to the gym,,,give her ticket to Ted,tackle him and hold him down,ram into the car,steal whatever she has on her,check that the doors are locked,,borrow their mom’s wedding ring,,,leave Todd to save herself,leave the store unattended,hide him in the snow
100,27613,TRUE,R_31NswYKRO32usOh,92,,,10,10,100,,,10,10,0,65,10,11,90,,91,,,48,Female,White / Caucasian,,Vocational/Technical School (2 year),Rung 3,search for the medication on the black market,,,lie that she left her card inside,copy a friend's assignment,huddle to conserve energy,,,tailgate the car,refuse to drive her,light a fire under the car,store the knife in an airport locker,steal someone else’s ring,get another job,request supplies to be airdropped,,ask a friend to take over,
100,172,TRUE,R_Rbn66YsnUCR58Pv,54,0,0,0,22,0,84,,61,,,,91,0,,100,,0,,31,Male,White / Caucasian,,Master's Degree (MS),Rung 5,go on strike for better wages,steal a passing driver's car,stage a robbery,pull the fire alarm,call her mom,throw away all of the food,go without Ted,,honk at the driver until they pull over,,,,call the taxi company,buy his father a tent,,hike until she finds cell service,,leave her dogs with him
100,230,TRUE,R_3JK1RBeYMrApkkB,,4,,75,3,8,5,100,,3,99,,3,,2,100,,2,,55,Female,White / Caucasian,,High School or equivalent,Rung 6,,steal a passing driver's car,,pay for a day-pass to the gym,lie that her house burnt down,collect wood to start a fire,pretend they are conjoined twins,wave to the parents,,steal whatever she has on her,check that the doors are locked,,steal someone else’s ring,,sell all the food to the highest bidder,hike until she finds cell service,,carry her competitor on her sled
100,229,TRUE,R_3NPqReEXjBiZf92,,0,,1,25,1,100,,100,,100,0,,0,81,,1,0,,68,Female,White / Caucasian,,Some College,Rung 6,,steal a passing driver's car,,crawl past the front desk,call her mom,search for a water source,try to buy a ticket off another person,,pull over and call 911,,call emergency services,hide the knife in someone else's bag,,abandon his father,ration their food,,lock up the store,hide him in the snow
100,153,TRUE,R_TbZmAhQcbamvHwJ,0,,4,0,0,10,,,11,0,0,20,0,1,,,,0,,29,Female,Asian / Pacific Islander,,Doctoral Degree (PhD),Rung 7,commit credit card fraud,,pay the money from his own wallet,lie that she left her card inside,lie that her house burnt down,collect wood to start a fire,,,tailgate the car,turn invisible,light a fire under the car,threaten security with the knife,blame it on the maid of honor,get another job,,,,carry her competitor on her sled
100,289,TRUE,R_3LklONXaz0l6OMc,100,,0,0,0,,0,51,75,0,,50,100,100,,,0,,,67,Female,White / Caucasian,,High School or equivalent,Rung 5,take out a loan,,sell one of his kidneys,crawl past the front desk,hypnotize the teacher,,pretend they are conjoined twins,tackle him and hold him down,take a detour at the next exit,take her to his house but no further,,pretend the knife is part of a hip replacement,tell his sister as soon as possible,check in on his father daily,,,tell his lawyer that he’s sick,
100,202,TRUE,R_27x3hjF6qyuQeuD,93,93,0,79,,0,,,,0,0,76,100,0,,22,0,,,33,Male,White / Caucasian,,Some College,Rung 2,search for the medication on the black market,take a public bus,sell one of his kidneys,borrow someone's phone,,throw away all of the food,,,,yell in gibberish until she leaves,slash the tires,take a train instead,tell his sister as soon as possible,abandon his father,,leave Todd to save herself,stage a break-in at the store,
100,237,TRUE,R_2ayRs6CxvMMXEFc,100,,3,0,2,,69,3,80,3,2,,,,10,,100,3,,29,Female,White / Caucasian,,Master's Degree (MS),Rung 3,switch insurance plans,,overcharge the next customers,pull the fire alarm,lie that her house burnt down,,try to buy a ticket off another person,read his mind,take a detour at the next exit,yell in gibberish until she leaves,light a fire under the car,,,,sell all the food to the highest bidder,,call his lawyer,steal his dogs for extra speed
100,242,TRUE,R_A0xxNy4nsbw2OvD,,,0,62,100,,50,50,22,30,65,,100,,100,,100,0,,41,Male,White / Caucasian,,College Graduate (4 year),Rung 6,,,stage a robbery,renew her membership,bring in the assignment the next day,,go without Ted,ask the parents if they know him,pull over and call 911,call her a cab,pour water on the car to cool it,,call the taxi company,,request supplies to be airdropped,,lock up the store,steal his dogs for extra speed
100,220,TRUE,R_eE6WekGCeCDgCWJ,,100,81,,55,0,0,,,0,1,,1,,1,9,0,1,,51,Female,White / Caucasian,,Vocational/Technical School (2 year),Rung 8,,reschedule for a later flight,explain the situation to his boss,,bring in the assignment the next day,throw away all of the food,steal someone else's ticket,,,take her to his house but no further,pour water on the car to cool it,,blame it on the maid of honor,,organize a fishing crew,give Todd her water,stage a break-in at the store,steal his dogs for extra speed
100,226,TRUE,R_a66Ctwlq8yL8iUV,50,50,51,49,,94,,,50,6,,8,49,50,,,51,50,,35,Female,White / Caucasian,,Some College,Rung 3,switch insurance plans,reschedule for a later flight,get an advance payday loan,pay for a day-pass to the gym,,collect wood to start a fire,,,take a detour at the next exit,steal whatever she has on her,,pretend the knife is part of a hip replacement,blame it on the maid of honor,check in on his father daily,,,call his lawyer,finish the race
100,308,TRUE,R_31XWpZujlx2YZmj,3,98,,91,,100,,2,,1,93,100,1,0,,1,8,,,61,Female,White / Caucasian,,Some College,Rung 6,start a fundraiser,call a taxi,,borrow someone's phone,,huddle to conserve energy,,make cat noises at him until he leaves,,turn invisible,call emergency services,take a train instead,run away,pitch his situation to a reality TV network,,saw Todd’s arm off,call his lawyer,
100,230,TRUE,R_OEkifHIvzL2AFPz,81,0,39,0,0,100,0,0,0,,0,,,,30,30,,,,31,Female,White / Caucasian,,College Graduate (4 year),Rung 5,take out a loan,try to convince a passing driver to trade cars,pay the money from his own wallet,crawl past the front desk,call her mom,search for a water source,pretend they are conjoined twins,tackle him and hold him down,honk an angry message in Morse code,,slash the tires,,,,organize a fishing crew,give Todd her water,,
100,306,TRUE,R_1GwugjWVB94qUW6,,,,0,,100,50,10,,,30,10,100,40,100,0,0,100,,35,Male,White / Caucasian,,Grammar School,Rung 3,,,,pull the fire alarm,,collect wood to start a fire,try to buy a ticket off another person,read his mind,,,call emergency services,store the knife in an airport locker,call the taxi company,move into his father’s apartment,request supplies to be airdropped,get her arm stuck in solidarity,tell his lawyer that he’s sick,finish the race
100,362,TRUE,R_3eF3SPmFm0qzxqF,82,1,,,95,35,,15,,8,,92,100,40,97,59,,36,,59,Female,White / Caucasian,,Some College,Rung 6,take out a loan,steal a passing driver's car,,,quickly try to redo the assignment,search for a water source,,wave to the parents,,take her to his house but no further,,ask to check the knife,borrow their mom’s wedding ring,move into his father’s apartment,ration their food,leave Todd to save herself,,hide him in the snow
100,238,TRUE,R_PzXSQGnHtKxmA6t,100,20,,92,82,,,50,36,35,69,,24,,37,,18,42,,32,Male,Asian / Pacific Islander,,College Graduate (4 year),Rung 5,start a fundraiser,demand that the airline delays the flight,,renew her membership,copy a friend's assignment,,,make cat noises at him until he leaves,honk an angry message in Morse code,refuse to drive her,ask to use the mall's loudspeaker,,tell his sister as soon as possible,,throw disobedient passengers off the boat,,stage a break-in at the store,finish the race
100,386,TRUE,R_3I4Ri5dJydoIuLQ,,100,27,65,,100,1,100,,,,1,0,100,81,100,,100,,63,Female,White / Caucasian,,Some College,Rung 2,,call a taxi,get an advance payday loan,renew her membership,,collect wood to start a fire,pretend they are conjoined twins,ask the parents if they know him,,,,hide the knife in someone else's bag,steal someone else’s ring,check in on his father daily,request supplies to be airdropped,hike until she finds cell service,,finish the race
100,320,TRUE,R_1ogNSBPMFozJLv6,0,,8,41,,88,1,19,2,,6,0,96,1,,,,5,,35,Female,White / Caucasian,,College Graduate (4 year),Rung 7,commit credit card fraud,,pay the money from his own wallet,borrow someone's phone,,huddle to conserve energy,steal someone else's ticket,keep an eye on him,tailgate the car,,ask to use the mall's loudspeaker,threaten security with the knife,tell his sister as soon as possible,get another job,,,,carry her competitor on her sled
100,253,TRUE,R_1ISl3W7WF3JCpIz,,0,0,,,0,0,0,,,0,0,100,0,,0,0,0,,57,Female,White / Caucasian,,Vocational/Technical School (2 year),Rung 3,,try to convince a passing driver to trade cars,overcharge the next customers,,,throw away all of the food,give her ticket to Ted,read his mind,,,call emergency services,pretend the knife is part of a hip replacement,borrow their mom’s wedding ring,abandon his father,,saw Todd’s arm off,ask a friend to take over,hide him in the snow
100,275,TRUE,R_2YSaWuwvSNsKtOg,82,,3,68,,87,8,11,1,5,1,,100,,1,23,,,,34,Male,White / Caucasian,,Some College,Rung 3,start a fundraiser,,sell one of his kidneys,borrow someone's phone,,huddle to conserve energy,teleport into the concert,tackle him and hold him down,ram into the car,yell in gibberish until she leaves,pour water on the car to cool it,,tell his sister as soon as possible,,throw disobedient passengers off the boat,leave Todd to save herself,,
100,346,TRUE,R_3fklejU3sdLdfnu,100,31,,,81,0,100,50,0,0,,0,,0,0,100,,,,38,Male,Hispanic / Latino,,Some College,Rung 5,switch insurance plans,call a taxi,,,bring in the assignment the next day,boost morale with a three-legged race,go without Ted,keep an eye on him,ram into the car,turn invisible,,threaten security with the knife,,pitch his situation to a reality TV network,serve engine fuel to the passengers,hike until she finds cell service,,
100,304,TRUE,R_2S0vBOFxnttodWq,0,100,0,,0,0,0,,,,0,0,,0,,0,0,0,,37,Female,White / Caucasian,,Vocational/Technical School (2 year),Rung 5,switch insurance plans,reschedule for a later flight,overcharge the next customers,,lie that her house burnt down,steal all of the food and water,pretend they are conjoined twins,,,,slash the tires,take a train instead,,buy his father a tent,,yell at Todd for getting stuck,lock up the store,call for help
100,323,TRUE,R_e52EHacSqCsteff,,,,,1,,1,51,,1,1,1,100,100,1,1,1,1,,39,Female,White / Caucasian,,Some College,Rung 1 (Bottom Rung),,,,,call her mom,,teleport into the concert,keep an eye on him,,take her to his house but no further,slash the tires,store the knife in an airport locker,call the taxi company,check in on his father daily,throw disobedient passengers off the boat,yell at Todd for getting stuck,tell his lawyer that he’s sick,carry her competitor on her sled
100,453,TRUE,R_Asow25V9FMxTOUh,70,95,0,,,5,,,0,,10,0,,0,20,5,0,0,,33,Male,White / Caucasian,,College Graduate (4 year),Rung 4,search for the medication on the black market,reschedule for a later flight,get an advance payday loan,,,steal all of the food and water,,,tailgate the car,,ask to use the mall's loudspeaker,threaten security with the knife,,abandon his father,organize a fishing crew,saw Todd’s arm off,stage a break-in at the store,leave her dogs with him
100,389,TRUE,R_sh4ZXVX5uC2HfGh,,81,100,,0,3,0,9,0,1,,,,,0,19,61,0,,43,Female,White / Caucasian,,Grammar School,Rung 3,,take a public bus,explain the situation to his boss,,hypnotize the teacher,boost morale with a three-legged race,go without Ted,wave to the parents,tailgate the car,turn invisible,,,,,serve engine fuel to the passengers,give Todd her water,leave the store unattended,call for help
100,315,TRUE,R_1Du9pScY3lYkcal,35,,100,3,0,94,5,,5,0,,39,,3,60,50,,,,46,Female,White / Caucasian,,Some College,Rung 4,go on strike for better wages,,explain the situation to his boss,crawl past the front desk,hypnotize the teacher,search for a water source,pretend they are conjoined twins,,honk an angry message in Morse code,steal whatever she has on her,,store the knife in an airport locker,,get another job,organize a fishing crew,give Todd her water,,
100,347,TRUE,R_vTTQRgBNKGDQgQp,,,,,100,,1,100,,0,0,0,0,1,0,50,1,1,,38,Male,White / Caucasian,,College Graduate (4 year),Rung 5,,,,,quickly try to redo the assignment,,steal someone else's ticket,wave to the parents,,turn invisible,slash the tires,threaten security with the knife,run away,pitch his situation to a reality TV network,serve engine fuel to the passengers,give Todd her water,stage a break-in at the store,call for help
100,287,TRUE,R_1oo1T5RGlBb3IXG,,50,,100,0,,,90,80,10,,100,0,20,0,,20,0,,46,Male,White / Caucasian,,Some College,Rung 6,,demand that the airline delays the flight,,pay for a day-pass to the gym,hypnotize the teacher,,,ask the parents if they know him,take a detour at the next exit,refuse to drive her,,ask to check the knife,blame it on the maid of honor,pitch his situation to a reality TV network,sell all the food to the highest bidder,,tell his lawyer that he’s sick,leave her dogs with him
100,331,TRUE,R_3lRlsgzq0Bc7mkY,5,1,0,5,,30,91,0,0,,1,0,,,,0,,1,,77,Female,White / Caucasian,,Some College,Rung 4,go on strike for better wages,try to convince a passing driver to trade cars,overcharge the next customers,lie that she left her card inside,,boost morale with a three-legged race,give her ticket to Ted,read his mind,ram into the car,,slash the tires,hide the knife in someone else's bag,,,,get her arm stuck in solidarity,,call for help
100,247,TRUE,R_ut3U5ylo8pUoLxD,30,50,,,45,75,90,91,60,,50,0,100,0,65,,,,,43,Female,White / Caucasian,,College Graduate (4 year),Rung 7,go on strike for better wages,reschedule for a later flight,,,copy a friend's assignment,collect wood to start a fire,give her ticket to Ted,keep an eye on him,take a detour at the next exit,,check that the doors are locked,hide the knife in someone else's bag,tell his sister as soon as possible,abandon his father,organize a fishing crew,,,
100,283,TRUE,R_1jpQT7o6Flu8uBP,26,,50,0,100,0,44,0,1,,100,,,0,,1,,0,,44,Female,White / Caucasian,,Some College,Rung 5,search for the medication on the black market,,pay the money from his own wallet,lie that she left her card inside,quickly try to redo the assignment,steal all of the food and water,go without Ted,tackle him and hold him down,honk at the driver until they pull over,,ask to use the mall's loudspeaker,,,abandon his father,,leave Todd to save herself,,steal his dogs for extra speed
100,282,TRUE,R_9Fal9HJvw7KwiE9,,50,0,10,,,,20,,35,0,0,95,,0,0,90,0,,34,Male,White / Caucasian,,High School or equivalent,Rung 6,,call a taxi,get an advance payday loan,crawl past the front desk,,,,make cat noises at him until he leaves,,call her a cab,check that the doors are locked,hide the knife in someone else's bag,borrow their mom’s wedding ring,,sell all the food to the highest bidder,get her arm stuck in solidarity,ask a friend to take over,steal his dogs for extra speed
100,290,TRUE,R_1JKMr6l5LRebswS,,50,,,0,100,,20,80,20,40,100,0,0,60,,,0,,38,Female,White / Caucasian,,College Graduate (4 year),Rung 6,,try to convince a passing driver to trade cars,,,copy a friend's assignment,search for a water source,,wave to the parents,honk at the driver until they pull over,take her to his house but no further,ask to use the mall's loudspeaker,ask to check the knife,run away,get another job,request supplies to be airdropped,,,hide him in the snow
100,382,TRUE,R_22ROhYpjtMIHPby,,,,44,63,,90,71,95,,54,58,,69,99,2,71,100,,32,Female,Black / African American,,College Graduate (4 year),Rung 5,,,,lie that she left her card inside,hypnotize the teacher,,teleport into the concert,read his mind,honk at the driver until they pull over,,pour water on the car to cool it,store the knife in an airport locker,,move into his father’s apartment,request supplies to be airdropped,get her arm stuck in solidarity,leave the store unattended,finish the race
100,320,TRUE,R_3rNTD5ULwVrylQ5,45,,0,0,,,5,0,0,2,,62,,0,,0,20,8,,49,Female,White / Caucasian,,Vocational/Technical School (2 year),Rung 4,start a fundraiser,,sell one of his kidneys,pull the fire alarm,,,steal someone else's ticket,make cat noises at him until he leaves,honk at the driver until they pull over,turn invisible,,take a train instead,,buy his father a tent,,saw Todd’s arm off,leave the store unattended,carry her competitor on her sled
100,265,TRUE,R_AvP1xAYKNHnRFpD,,,100,20,,,30,0,,0,0,0,100,10,0,0,,0,,25,Female,White / Caucasian,,College Graduate (4 year),Rung 6,,,explain the situation to his boss,pay for a day-pass to the gym,,,try to buy a ticket off another person,make cat noises at him until he leaves,,steal whatever she has on her,light a fire under the car,threaten security with the knife,call the taxi company,move into his father’s apartment,serve engine fuel to the passengers,yell at Todd for getting stuck,,leave her dogs with him
100,384,TRUE,R_1K1KmdAe5njRl5k,,50,,5,0,,,81,5,10,,100,0,0,90,,1,5,,44,Female,White / Caucasian,,College Graduate (4 year),Rung 7,,take a public bus,,crawl past the front desk,hypnotize the teacher,,,keep an eye on him,honk an angry message in Morse code,call her a cab,,ask to check the knife,blame it on the maid of honor,buy his father a tent,ration their food,,ask a friend to take over,carry her competitor on her sled
