Progress,Duration (in seconds),Finished,ResponseId,S1-FR_4,S1-FR_5,S1-FR_6,S1-FR_7,S1-FR_8,S1FRtime_First Click,S1FRtime_Last Click,S1FRtime_Page Submit,S1FRtime_Click Count,S1A1_4,S1A1_5,S1A1_6,S1A2_4,S1A2_5,S1A2_6,S1A3_4,S1A3_5,S1A3_6,S1A4_4,S1A4_5,S1A4_6,S1A5_4,S1A5_5,S1A5_6,S2-FR_4,S2-FR_5,S2-FR_6,S2-FR_7,S2-FR_8,S2FRtime_First Click,S2FRtime_Last Click,S2FRtime_Page Submit,S2FRtime_Click Count,S2A1_4,S2A1_5,S2A1_6,S2A2_4,S2A2_5,S2A2_6,S2A3_4,S2A3_5,S2A3_6,S2A4_4,S2A4_5,S2A4_6,S2A5_4,S2A5_5,S2A5_6,S3-FR_4,S3-FR_5,S3-FR_6,S3-FR_7,S3-FR_8,S3FRtime_First Click,S3FRtime_Last Click,S3FRtime_Page Submit,S3FRtime_Click Count,S3A1_4,S3A1_5,S3A1_6,S3A2_4,S3A2_5,S3A2_6,S3A3_4,S3A3_5,S3A3_6,S3A4_4,S3A4_5,S3A4_6,S3A5_4,S3A5_5,S3A5_6,S4-FR_4,S4-FR_5,S4-FR_6,S4-FR_7,S4-FR_8,S4FRtime_First Click,S4FRtime_Last Click,S4FRtime_Page Submit,S4FRtime_Click Count,S4A1_4,S4A1_5,S4A1_6,S4A2_4,S4A2_5,S4A2_6,S4A3_4,S4A3_5,S4A3_6,S4A4_4,S4A4_5,S4A4_6,S4A5_4,S4A5_5,S4A5_6,S5-FR_4,S5-FR_5,S5-FR_6,S5-FR_7,S5-FR_8,S5FRtime_First Click,S5FRtime_Last Click,S5FRtime_Page Submit,S5FRtime_Click Count,S5A1_4,S5A1_5,S5A1_6,S5A2_4,S5A2_5,S5A2_6,S5A3_4,S5A3_5,S5A3_6,S5A4_4,S5A4_5,S5A4_6,S5A5_4,S5A5_5,S5A5_6,S6-FR_4,S6-FR_5,S6-FR_6,S6-FR_7,S6-FR_8,S6FRtime_First Click,S6FRtime_Last Click,S6FRtime_Page Submit,S6FRtime_Click Count,S6A1_4,S6A1_5,S6A1_6,S6A2_4,S6A2_5,S6A2_6,S6A3_4,S6A3_5,S6A3_6,S6A4_4,S6A4_5,S6A4_6,S6A5_4,S6A5_5,S6A5_6,S7-FR_4,S7-FR_5,S7-FR_6,S7-FR_7,S7-FR_8,S7FRtime_First Click,S7FRtime_Last Click,S7FRtime_Page Submit,S7FRtime_Click Count,S7A1_7,S7A1_8,S7A1_9,S7A2_7,S7A2_8,S7A2_9,S7A3_7,S7A3_8,S7A3_9,S7A4_7,S7A4_8,S7A4_9,S7A5_7,S7A5_8,S7A5_9,S8-FR_4,S8-FR_5,S8-FR_6,S8-FR_7,S8-FR_8,S8FRtime_First Click,S8FRtime_Last Click,S8FRtime_Page Submit,S8FRtime_Click Count,S8A1_4,S8A1_5,S8A1_6,S8A2_4,S8A2_5,S8A2_6,S8A3_4,S8A3_5,S8A3_6,S8A4_4,S8A4_5,S8A4_6,S8A5_4,S8A5_5,S8A5_6,S9-FR_4,S9-FR_5,S9-FR_6,S9-FR_7,S9-FR_8,S9FRtime_First Click,S9FRtime_Last Click,S9FRtime_Page Submit,S9FRtime_Click Count,S9A1_4,S9A1_5,S9A1_6,S9A2_4,S9A2_5,S9A2_6,S9A3_4,S9A3_5,S9A3_6,S9A4_4,S9A4_5,S9A4_6,S9A5_4,S9A5_5,S9A5_6,S10-FR_4,S10-FR_5,S10-FR_6,S10-FR_7,S10-FR_8,S10FRtime_First Click,S10FRtime_Last Click,S10FRtime_Page Submit,S10FRtime_Click Count,S10A1_4,S10A1_5,S10A1_6,S10A2_4,S10A2_5,S10A2_6,S10A3_4,S10A3_5,S10A3_6,S10A4_4,S10A4_5,S10A4_6,S10A5_4,S10A5_5,S10A5_6,S11-FR_4,S11-FR_5,S11-FR_6,S11-FR_7,S11-FR_8,S11FRtime_First Click,S11FRtime_Last Click,S11FRtime_Page Submit,S11FRtime_Click Count,S11A1_4,S11A1_5,S11A1_6,S11A2_4,S11A2_5,S11A2_6,S11A3_4,S11A3_5,S11A3_6,S11A4_4,S11A4_5,S11A4_6,S11A5_4,S11A5_5,S11A5_6,S12-FR_4,S12-FR_5,S12-FR_6,S12-FR_7,S12-FR_8,S12FRtime_First Click,S12FRtime_Last Click,S12FRtime_Page Submit,S12FRtime_Click Count,S12A1_4,S12A1_5,S12A1_6,S12A2_4,S12A2_5,S12A2_6,S12A3_4,S12A3_5,S12A3_6,S12A4_4,S12A4_5,S12A4_6,S12A5_4,S12A5_5,S12A5_6,S13-FR_4,S13-FR_5,S13-FR_6,S13-FR_7,S13-FR_8,S13FRTime_First Click,S13FRTime_Last Click,S13FRTime_Page Submit,S13FRTime_Click Count,S13A1_7,S13A1_8,S13A1_9,S13A2_7,S13A2_8,S13A2_9,S13A3_7,S13A3_8,S13A3_9,S13A4_7,S13A4_8,S13A4_9,S13A5_7,S13A5_8,S13A5_9,S14-FR_4,S14-FR_5,S14-FR_6,S14-FR_7,S14-FR_8,S14FRTime_First Click,S14FRTime_Last Click,S14FRTime_Page Submit,S14FRTime_Click Count,S14A1_4,S14A1_5,S14A1_6,S14A2_4,S14A2_5,S14A2_6,S14A3_4,S14A3_5,S14A3_6,S14A4_4,S14A4_5,S14A4_6,S14A5_4,S14A5_5,S14A5_6,S15-FR_4,S15-FR_5,S15-FR_6,S15-FR_7,S15-FR_8,S15FRTime_First Click,S15FRTime_Last Click,S15FRTime_Page Submit,S15FRTime_Click Count,S15A1_4,S15A1_5,S15A1_6,S15A2_4,S15A2_5,S15A2_6,S15A3_4,S15A3_5,S15A3_6,S15A4_4,S15A4_5,S15A4_6,S15A5_4,S15A5_5,S15A5_6,S16-FR_4,S16-FR_5,S16-FR_6,S16-FR_7,S16-FR_8,S16FRTime_First Click,S16FRTime_Last Click,S16FRTime_Page Submit,S16FRTime_Click Count,S16A1_4,S16A1_5,S16A1_6,S16A2_4,S16A2_5,S16A2_6,S16A3_4,S16A3_5,S16A3_6,S16A4_4,S16A4_5,S16A4_6,S16A5_4,S16A5_5,S16A5_6,S17-FR_4,S17-FR_5,S17-FR_6,S17-FR_7,S17-FR_8,S17FRTime_First Click,S17FRTime_Last Click,S17FRTime_Page Submit,S17FRTime_Click Count,S17A1_4,S17A1_5,S17A1_6,S17A2_4,S17A2_5,S17A2_6,S17A3_4,S17A3_5,S17A3_6,S17A4_4,S17A4_5,S17A4_6,S17A5_4,S17A5_5,S17A5_6,S18-FR_4,S18-FR_5,S18-FR_6,S18-FR_7,S18-FR_8,S18FRTime_First Click,S18FRTime_Last Click,S18FRTime_Page Submit,S18FRTime_Click Count,S18A1_4,S18A1_5,S18A1_6,S18A2_4,S18A2_5,S18A2_6,S18A3_4,S18A3_5,S18A3_6,S18A4_4,S18A4_5,S18A4_6,S18A5_4,S18A5_5,S18A5_6,demo,age,gender,ethnicity,ethnicity_6_TEXT,education,ses
100,619,TRUE,R_cNlbPgpBQO1fg9X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ask if she can pay her dues,Ask to borrow someone’s phone,Go back to her office to get her phone,Hope to see her friend from outside,Ask an employee to talk to her friend,17.04,41.295,47.692,6,100,100,100,50,100,100,50,100,100,75,100,100,80,100,100,Talk to the teacher,Try to re-write the homework,Ask for an extension ,Stay home from class,Cry,10.06,38.009,39.053,8,90,100,100,50,100,100,85,100,100,50,50,50,50,100,100,Huddle together for warmth,Conserve resources,Send a few people to search for the town,Have some people stay back and try to make a shelter,Try to light a fire,14.69,65.58,66.25,14,100,100,100,85,100,100,50,85,100,50,85,85,75,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Honk his horn,Text his friend to ask if it’s him,Try to pass the car,Pull over,Try to see if his friend is driving ,10,33.337,39.989,6,80,100,100,60,85,70,65,50,50,30,100,51,100,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leave the line,Try to get through with the knife,Ask an employee what to do,Throw the knife away,Ask someone in line for advice ,8.188,38.428,54.156,8,90,100,100,40,80,60,0,50,25,30,50,45,20,35,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ask why he stopped,Keep going past him,Laugh at him,Go faster,Ask for a cigarette ,9.903,44.176,48.8,7,35,100,100,95,100,100,30,90,100,80,100,100,0,100,0,,28,Male,White / Caucasian,,College Graduate (4 year),Rung 5
100,580,TRUE,R_8JjMLvKn8cYAN4B,Heinz could have the dog put down.,Heinz could steal some money to pay for the surgery.,Heinz could start a crowdfunding site to raise the money.,Heinz could try to perform the surgery by himself.,Heinz could beg for money on the street. ,7.589,54.415,55.638,2,4,3,1,13,4,17,58,75,70,2,1,2,7,11,4,,,,,,,,,,,,,,,,,,,,,,,,,Call all employees and see if they accidentally took the money.,Take 500.75 of his own money and put it in the cash register.,Call his manager and let them know in advance that the money is missing.,Search around the store to see if the money is there. ,Go through the list of things sold for the day to figure out why the money is missing. ,10.479,59.445,78.586,3,40,81,82,4,100,13,89,100,97,91,100,53,100,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Try to sneak Ted into the concert.,Try to see if anyone would be willing to sell their ticket. ,Offer to go home with Ted.,Go to the concert by herself.,Offer to go with the group to a restaurant instead of the concert. ,11.411,20.634,68.068,2,46,5,27,28,53,97,29,100,29,41,6,15,46,100,100,Eunice could try to stop the teen.,Eunice could tell the family about it.,Eunice could ignore the whole situation,Eunice could call the police. ,Eunice could scream really loudly to scare the teen away. ,19.115,19.115,59.342,1,42,100,72,100,100,100,20,7,24,25,40,44,35,54,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Erica could ignore the dog and go home.,Erica could break the window of the car.,Erica could try to find the dog's owner.,Erica could call the police.,Erica could contact security at the mall.  ,4.557,26.259,36.865,3,2,2,1,52,100,72,16,100,32,53,100,92,34,64,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shania could stop and check on her competitor.,Shania could zoom past her competitor and ignore them.,Shania could purposefully cover the competitor in snow.,Shania could run over her competitor.,Shania could stop and smoke a cigarette with her competitor.,10.288,10.288,60.794,1,29,100,38,62,16,47,17,2,14,6,1,1,18,55,35,,33,Male,White / Caucasian,,College Graduate (4 year),Rung 6
100,756,TRUE,R_3hgN3d7iUsKWUZm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wait and inform the manager that there is a substantial amount missing.,Repay the cash register from his own wallet.,Say nothing.,Assume that manager will not notice.,Pretend that the cash register is balanced.,0.904,1.24,59.215,2,71,100,100,20,100,11,51,50,50,30,30,6,20,7,17,Catch a stranger and describe Liz. Tell them to inform Liz what happened.,Borrow someone's phone.,Write a note and put it on Liz's car.,Wait for Liz to leave and stay with her car.,Go back to the office and call Liz.,0.984,73.531,82.352,5,30,100,100,19,100,51,10,100,13,30,100,100,50,100,100,,,,,,,,,,,,,,,,,,,,,,,,,Tell friends that they are almost there.,Tell friends they are lost.,Tell friends the distance from the next town.,Let them know that the rest of the hike is downhill.,Tell friends to ration food.,4.931,4.931,73.466,1,100,100,100,60,100,100,81,100,100,71,100,100,60,100,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tell her that she can ride with him.,Don't say anything about the extra mileage.,Say something about the extra mileage.,Offer for her to come see his house.,Ask for her to compensate him for the gas.,0.849,58.278,58.563,2,93,100,100,100,100,100,10,50,5,30,100,50,16,30,10,,,,,,,,,,,,,,,,,,,,,,,,,Go back to his car and put it in the glove box.,Throw it away in a nearby trash can.,Conceal it with something metal.,"Put it in an inconspicuous place in the bathroom, and retrieve it upon return.",Put it in a panel in a hallway at the airport to retrieve later.,2.241,2.491,87.978,2,95,100,100,9,100,72,5,20,30,2,100,0,2,100,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Inform passengers that help is on the way, and to remain calm.","Notify passengers that food will be low, but help is coming tomorrow.",Ration own food for a medical emergency.,Tell passengers to ration food.,Say nothing and let passengers panic.,1.416,37.52,96.363,4,81,100,100,85,100,100,19,100,51,70,100,100,10,50,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,Female,White / Caucasian,,Vocational/Technical School (2 year),Rung 3
100,626,TRUE,R_W2pzRcditGZmicN,He could crowdfund the money needed for the medication,He could take out a loan needed for the medication's cost,He could borrow money from family or friends,He could put the dog down,He could take the dog to a discount clinic,11.674,11.674,59.651,1,57,83,62,54,65,65,80,90,90,10,34,8,9,21,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,He could call for help on his phone,He could fire a flare to signal distress,He could continue walking into town,He could try to flag down any passersby for help,He could send a friend to find help,7.076,7.076,75.606,1,100,100,100,87,100,100,74,96,90,100,100,100,89,93,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,He could drive her there,He could call an Uber for her,He could decline to drive her,He could drive her to the train station,He could drop her off at the bus station,1.675,59.616,60.01,5,95,88,98,50,59,49,12,38,47,16,74,50,18,57,57,,,,,,,,,,,,,,,,,,,,,,,,,He could dispose of it,He could turn it over to the authorities,He could hide it,He could declare it at customs,He could go through security and see what happens,13.946,13.946,52.541,1,50,42,61,56,91,79,53,10,38,37,61,38,8,8,5,,,,,,,,,,,,,,,,,,,,,,,,,He could move his dad into his apartment,He could hire a caretaker for his dad,He could put his dad in a retirement home,He could move in with his dad to take care of him,He could ask a friend to help take care of his dad,4.889,4.889,68.043,1,86,95,92,64,72,85,50,50,83,60,87,70,13,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,He could wait until 7 AM for his boss to show up,He could call or text his boss to notify him that he has a court appointment at 8,He could put in for leave time,He could continue working until the end of his shift,He could contact someone else to cover for him in case he has to leave early,16.578,16.578,80.996,1,89,97,95,69,95,95,50,53,49,88,93,95,31,42,37,,,,,,,,,,,,,,,,,,,,,,,,,,32,Male,Asian / Pacific Islander,,Master's Degree (MS),Rung 6
100,728,TRUE,R_3fuw5vBnD6lqlO5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Let the manager know.,Lie to the manager.,Figure out how the money is missing.,Put your own money in the register.,Ask one of the other employees what happened.,17.351,17.351,82.494,1,100,100,100,22,0,39,100,100,100,0,1,0,100,100,100,,,,,,,,,,,,,,,,,,,,,,,,,Let the teacher know what happened.,Accept the situation.,Ask to redo the assignment.,Make another excuse.,Ask someone to copy their homework.,6.407,6.407,87.639,1,100,100,100,100,100,100,100,100,100,7,4,80,0,0,38,,,,,,,,,,,,,,,,,,,,,,,,,Not go to the concert.,Ask one of the workers if they can let Ted in.,Go without him,Go with him to get his ticket.,Give your ticket to Ted.,5.981,32.93,89.462,3,28,100,88,100,100,100,23,20,4,100,100,100,10,100,5,Ask the family is he is part of the family.,Ask the teenager not to throw the belongings in the ocean.,Let the family know what the boy is doing.,Mind my own business.,Let the family know and help them get their belongings. ,10.648,52.687,97.411,2,100,100,80,100,100,77,100,100,100,49,21,3,100,100,100,,,,,,,,,,,,,,,,,,,,,,,,,Give her a ride.,Tell her no.,Ask for gas money.,Tell her you are running late and can't.,Say yes but she owes him a favor.,8.08,55.104,76.452,3,100,100,100,52,84,86,83,79,98,100,20,72,80,11,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leave the store early.,Miss the court appointment.,Call the boss and let him know if he can come earlier.,Be late.,Make an emergency excuse.,18.241,18.241,63.848,1,11,0,9,21,24,50,29,18,77,53,53,88,47,0,93,,,,,,,,,,,,,,,,,,,,,,,,,,28,Female,Asian / Pacific Islander,,Some College,Rung 8
100,486,TRUE,R_3QWr0TgZVptl6f4,borrow from a frien,take a loan,steal the money,rob a bank,borrow from family,10.478,10.478,34.877,1,100,100,100,33,83,77,3,0,1,0,0,0,100,100,100,,,,,,,,,,,,,,,,,,,,,,,,,change the record,put his own money in,own up to the mistake,figure out where the money went,steal the money from somewhere else,13.164,13.164,44.68,1,24,2,12,43,63,20,100,98,98,100,99,100,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,driver her,charge her,get her an uber,lie,tell her no,12.551,12.551,41.284,1,97,97,84,99,98,99,98,98,99,36,31,28,58,96,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,own up to his mistake,call the taxi company,run away,buy a new ring,lie,3.18,3.991,28.251,2,99,99,99,100,100,99,33,27,11,88,98,76,20,4,54,,,,,,,,,,,,,,,,,,,,,,,,,order half rations,let the supplies run out,lock the food away,explain the situation exactly ,cut rations from non priority crew. ,15.023,16.179,70.398,2,100,100,100,22,46,7,98,99,99,100,99,100,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,leave,wait for his boss,call his boss,quit his job,call a co worker ,10.628,10.628,33.975,1,52,100,74,98,95,92,100,100,100,100,100,100,100,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,36,Male,Hispanic / Latino,,High School or equivalent,Rung 4
100,671,TRUE,R_3efwBOPHMGeDXIi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Talk to the manager,Ask someone to use their phone,go back to work,Cry,make a scene,4.366,42.379,42.671,7,75,85,70,80,95,80,50,90,80,20,50,50,10,5,20,,,,,,,,,,,,,,,,,,,,,,,,,travel to the town,call for help,set up camp,despair,make a fire,5.96,31.882,32.534,8,75,96,85,50,98,90,50,98,82,30,30,52,60,95,75,Check her email for a receipt.,Bribe the concierge,Ask Ted if he has an extra ticket,Cry about it.,go back home and get the ticket,2.229,106.96,113.111,8,70,90,90,20,50,67,70,90,90,15,95,80,50,96,80,,,,,,,,,,,,,,,,,,,,,,,,,take another route,call the police,honk his horn,call Chuck,pull over,2.546,24.355,27.801,6,50,95,75,20,60,75,80,80,86,81,95,90,80,98,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ask his father to move in with him,pay for a RN,put his father in a home,move in with his father,Talk to his father about what he wants,6.115,87.7,87.993,9,30,90,80,30,90,50,40,30,75,50,75,75,90,90,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,keep going,chide the competitor,have a cigarette with the competitor,ignore the competitor,tell on the competitor,6.065,36.084,42.86,6,75,90,75,40,50,60,20,15,40,75,70,50,20,10,15,,36,Male,White / Caucasian,,Some College,Rung 2
100,716,TRUE,R_2rlqsbHKUUAna5Q,,,,,,,,,,,,,,,,,,,,,,,,,turn on his emergency flashers,start walking in the direction of the airport,try to locate cell service,leave a note on his windshield with contact info/situation,pray,11.528,38.123,88.04,3,100,100,100,51,78,84,70,95,94,60,100,75,34,100,65,,,,,,,,,,,,,,,,,,,,,,,,,Pay her dues,Ask the receptionist to let her friend know,Wait at the entrance for her friend,Go back to her phone,Leave,10.404,10.404,64.689,1,95,98,97,87,96,95,71,98,95,74,100,100,63,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Give her ticket to Ted,Look for scalpers,Leave with Ted to do something else,Contact a friend of Ted's to let them in a side door,Speak with staff about any possibilities. ,14.689,14.689,67.04,1,36,100,78,83,46,64,87,99,100,64,18,28,95,99,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Give his friend a lift,Decline,Take her to public transporation,Ask what other options she has,Take her to his house and provide money for Uber,10.839,74.867,99.087,2,72,99,88,50,61,71,40,83,73,75,84,75,31,99,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stay calm,Keep them updated on the arriving rescue boat,"Ration food supplies, just in case.",Make sure everyone is in a safe part of the ship.,Prepare people to disembark.,14.288,14.288,56.955,1,98,99,100,96,100,99,82,89,89,92,100,100,67,100,99,,,,,,,,,,,,,,,,,,,,,,,,,Wait,Call call/text his boss,See if another employee can cover,Prepare to close the store briefly,Miss his court appointment,20.647,20.647,66.782,1,91,100,100,72,84,89,22,83,73,10,48,11,10,67,34,,,,,,,,,,,,,,,,,,,,,,,,,,53,Male,White / Caucasian,,College Graduate (4 year),Rung 3
100,801,TRUE,R_2TH3hqUMO5Za9sN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wait for her friend,pay her dues,ask the desk clerk to get her friend,ask someone to borrow their phone to call her friend,ask a person to let her friend know she is outside.,13.483,13.483,68.992,1,30,81,82,81,100,100,71,93,93,30,81,60,49,93,92,,,,,,,,,,,,,,,,,,,,,,,,,ration food,ration water,head for the base of the mountain,yell for help,signal for help,73.149,73.149,91.714,1,81,100,100,80,100,100,92,100,100,91,100,100,71,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ask for gas money,give his friend a ride for free,give his friend a ride but ask for a favor in return,leave her at the gas station,ask why she's at a random gas station with no ride,7.391,32.485,69.955,3,50,81,95,81,100,100,49,77,91,18,30,30,70,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ration the food,issue a partial refund,give passengers a discount on future trip,give free drinks,provide some form of entertainment to distract passengers,9.205,9.205,81.098,1,60,72,60,20,82,70,40,76,85,61,61,83,82,82,86,cut off todds finger,give him her water,go look for help,lubricate his finger to free it,try to chip away at the rock around the crevice,9.214,9.214,59.917,1,9,50,20,60,100,100,66,92,100,71,91,92,83,100,100,call his boss,call another coworker in,put up a temporarily closed sign,leave at 7 like normal no matter what,leave a note for his boss and go to court.,51.4,51.4,107.935,1,100,100,100,61,100,91,71,92,93,91,96,97,91,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,48,Male,White / Caucasian,,Some College,Rung 7
100,752,TRUE,R_3ptEmMslNc8QYPs,,,,,,,,,,,,,,,,,,,,,,,,,Hitchhike to the airport,Reschedule his flight and hunting safari,Flag down a driver and ask to use their phone,Walk down the road looking for a business,Try to find a nearby house and ask to use their phone to call for help,24.422,24.422,84.935,1,45,54,36,86,93,96,92,71,88,74,70,65,37,35,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Give her ticket to Ted,Ask others in line if they would sell their ticket,Try to get one of Ted's friends to give up their ticket,Sneak into the concert,Sell her ticket to Ted,16.08,16.08,61.182,1,83,100,75,59,51,53,20,14,29,51,25,22,9,4,32,,,,,,,,,,,,,,,,,,,,,,,,,Look closer to see if the driver is his friend Chuck,Drive out of the road to avoid being struck,Honk his horn to alert the driver,Stop his vehicle and wave down the driver,Shout a warning out of his window,14.297,14.297,62.444,1,100,100,100,86,82,84,100,100,100,23,17,15,92,91,90,,,,,,,,,,,,,,,,,,,,,,,,,Mind her own business and walk away,Alert the business about the issue,Wait for the owner to come out and confront them,Break the window and let the dog get air,Call the police,11.367,11.367,54.06,1,77,86,95,49,36,53,62,16,32,15,2,7,6,13,8,,,,,,,,,,,,,,,,,,,,,,,,,Contact the driver or service and see if they found it,Retrace his steps from the vehicle,Apologize to the bride and groom,Purchase another ring to replace the lost one,Call local pawn shops to see if it has turned up,2.138,2.138,75.908,1,97,100,98,98,100,98,100,100,100,32,81,30,27,89,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Call his boss to confirm he is coming to work,Wait patiently,Call a coworker to come in early,Quit his job,Do nothing and miss his court appointment,16.868,16.868,56.885,1,100,95,95,92,100,95,68,61,82,18,5,11,4,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,32,Male,White / Caucasian,,Some College,Rung 6
100,775,TRUE,R_1i51SC9s3F0Oc8s,Borrow money,Not buy the medicine,Put the dog down,Rehome the dog,Steal the medicine ,8.551,64.117,73.601,9,100,97,100,14,4,10,60,57,55,100,98,97,9,9,10,,,,,,,,,,,,,,,,,,,,,,,,,Put his own money in the safe,Fudge the receipts ,Say he was robbed,Steal the money from someone ,Run away,11.345,66.431,69.884,10,38,56,40,0,0,0,5,4,2,5,3,5,3,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hike to the town,Yell for help,Call 911,Break into a cabin,Steal his friends food for himself ,40.582,110.474,111.326,15,100,100,100,72,99,100,56,100,94,36,10,50,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Call the taxi service ,Get a new ring,Tell his sister, Cry,Ask someone for help ,5.601,38.155,56.377,8,100,100,100,54,62,62,79,99,88,57,100,98,83,96,95,Take his father in,Hire a live in nurse,Put him in a rest home,Let someone else deal with it,Nothing ,6.101,45.026,51.291,6,100,100,100,78,99,100,74,83,87,16,0,3,10,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tamper with his sled,Injure him,Steal a dog,Poison his cigarette ,Talk to him about strategy ,19.412,68.381,68.411,8,6,0,0,0,0,0,3,0,0,0,0,0,93,99,94,,39,Female,White / Caucasian,,Some College,Rung 3
