"","context_group","groupText","context","id","answer","text","group","value"
"74","1_1","ask family/friends",1,51,5,"Reach out to friends and family for financial assistance.",1,81.6666666666667
"75","1_1","ask family/friends",1,79,5,"Ask to borrow money from friends and family ",1,80
"76","1_1","ask family/friends",1,99,5,"Ask family for money to help",1,100
"77","2_1","call a taxi",2,2,1,"call a cab",1,94.6666666666667
"78","2_1","call a taxi",2,3,1,"Call a cab to pick him up",1,96.6666666666667
"79","2_1","call a taxi",2,7,1,"Josh can call an uber",1,93.3333333333333
"80","2_1","call a taxi",2,9,1,"Call an Uber",1,100
"81","2_1","call a taxi",2,10,1,"Call a taxi",1,100
"82","2_1","call a taxi",2,20,1,"call an uber or taxi",1,96.6666666666667
"83","2_1","call a taxi",2,22,1,"call an uber",1,100
"84","2_1","call a taxi",2,24,1,"call taxi ",1,63.6666666666667
"85","2_1","call a taxi",2,29,1,"Call a taxi",1,91.3333333333333
"86","2_1","call a taxi",2,34,1,"Call a taxi.",1,66.6666666666667
"87","2_1","call a taxi",2,35,1,"Call for a taxi/Uber",1,73.3333333333333
"88","2_1","call a taxi",2,38,1,"Call an Uber and get his car towed.",1,90
"89","2_1","call a taxi",2,39,1,"Call for a taxi. ",1,95.6666666666667
"90","2_1","call a taxi",2,40,1,"catch a uber",1,68.3333333333333
"91","2_1","call a taxi",2,47,1,"Take an UBER",1,100
"92","2_1","call a taxi",2,48,1,"hail a taxi",1,97.6666666666667
"93","2_1","call a taxi",2,49,1,"Call a taxi to take him to the airport",1,89.6666666666667
"94","2_1","call a taxi",2,51,1,"Have his car towed and take an uber.",1,95
"95","2_1","call a taxi",2,52,1,"call a taxi to get to the airport, leaving his car there",1,1
"96","2_1","call a taxi",2,59,1,"Call a cab.",1,97.3333333333333
"97","2_1","call a taxi",2,62,1,"Get a taxi",1,93.3333333333333
"98","2_1","call a taxi",2,66,1,"Call an Uber",1,80
"99","2_1","call a taxi",2,72,1,"Call a cab, offer to pay them extra if they can make pick you up and get you to the airport on time",1,60
"100","2_1","call a taxi",2,74,1,"Call Uber to pick him up where he's at.",1,53.3333333333333
"101","2_1","call a taxi",2,75,1,"Call a taxi",1,100
"102","2_1","call a taxi",2,80,1,"Leave his car and call a cab to the airport.",1,20
"103","2_1","call a taxi",2,82,1,"call a taxi",1,100
"104","2_1","call a taxi",2,84,1,"call a taxi, and have a friend get his car",1,95.3333333333333
"105","2_1","call a taxi",2,85,1,"call a cab.",1,78.6666666666667
"106","2_1","call a taxi",2,95,1,"try to catch a taxi",1,56.6666666666667
"107","2_1","call a taxi",2,99,1,"call a cab for help",1,100
"108","2_1","call a taxi",2,100,1,"Call a taxi.",1,98.6666666666667
"109","2_1","call a taxi",2,103,1,"get a taxi to the airport",1,96
"110","2_1","call a taxi",2,15,2,"leave his car, hail a taxi and go to the airport.",1,45.3333333333333
"111","2_1","call a taxi",2,16,2,"Get an Uber to the airport and have family members get car",1,98.3333333333333
"112","2_1","call a taxi",2,18,2,"Josh can get an Uber and leave his car.",1,24.3333333333333
"113","2_1","call a taxi",2,21,2,"call an Uber",1,77
"114","2_1","call a taxi",2,22,2,"call a taxi",1,100
"115","2_1","call a taxi",2,23,2,"Get an Uber.",1,86.6666666666667
"116","2_1","call a taxi",2,36,2,"Call a cab/uber",1,96.6666666666667
"117","2_1","call a taxi",2,40,2,"lyft",1,76.3333333333333
"118","2_1","call a taxi",2,41,2,"call an uber",1,86.3333333333333
"119","2_1","call a taxi",2,45,2,"uber it",1,83.6666666666667
"120","2_1","call a taxi",2,48,2,"use a rideshare app",1,100
"121","2_1","call a taxi",2,53,2,"Abandon the car and call a taxi.",1,3.66666666666667
"122","2_1","call a taxi",2,56,2,"Call Lyft for a ride to airport leaving car on highway and pay for getting it out of police dept when he gets back.",1,42.3333333333333
"123","2_1","call a taxi",2,58,2,"call a cabl",1,94.3333333333333
"124","2_1","call a taxi",2,60,2,"wait for a cacb",1,94
"125","2_1","call a taxi",2,62,2,"Get an uber",1,100
"126","2_1","call a taxi",2,70,2,"flag down a taxi",1,86.6666666666667
"127","2_1","call a taxi",2,73,2,"Call a rideshare (and a towtruck)",1,100
"128","2_1","call a taxi",2,81,2,"call for a taxi",1,100
"129","2_1","call a taxi",2,82,2,"call a shuttle",1,100
"130","2_1","call a taxi",2,89,2,"call for rental/Uber/similar",1,100
"131","2_1","call a taxi",2,92,2,"Call a taxi",1,63.3333333333333
"132","2_1","call a taxi",2,93,2,"Abandon his car and take an Uber",1,22.6666666666667
"133","2_1","call a taxi",2,95,2,"call a ride sharing service",1,93.3333333333333
"134","2_1","call a taxi",2,102,2,"He could call a cab/uber/lyft.",1,76.6666666666667
"135","2_1","call a taxi",2,1,3,"Call a taxi/Uber.",1,91
"136","2_1","call a taxi",2,5,3,"Catch a cab/uber",1,100
"137","2_1","call a taxi",2,8,3,"He could call a taxi service",1,82.3333333333333
"138","2_1","call a taxi",2,19,3,"Call an Uber and leave his car to be towed.",1,81.3333333333333
"139","2_1","call a taxi",2,23,3,"Call a taxi.",1,88.6666666666667
"140","2_1","call a taxi",2,25,3,"Pay for an uber",1,77.3333333333333
"141","2_1","call a taxi",2,28,3,"Get a lyft/uber",1,83.3333333333333
"142","2_1","call a taxi",2,33,3,"Call a taxi. ",1,100
"143","2_1","call a taxi",2,55,3,"Josh could hail an Uber",1,85
"144","2_1","call a taxi",2,61,3,"book Call taxi",1,68.3333333333333
"145","2_1","call a taxi",2,66,3,"Call a taxi",1,73.3333333333333
"146","2_1","call a taxi",2,69,3,"try to get an Uber ride",1,99.3333333333333
"147","2_1","call a taxi",2,70,3,"call for ridesharing through the phone or app",1,85
"148","2_1","call a taxi",2,71,3,"Call a taxi to the airport",1,94
"149","2_1","call a taxi",2,72,3,"Call a cab have them take him to a rental car location to get a new car",1,63.3333333333333
"150","2_1","call a taxi",2,77,3,"call a taxi",1,95.6666666666667
"151","2_1","call a taxi",2,87,3,"He will try to get an Uber.",1,98.3333333333333
"152","2_1","call a taxi",2,98,3,"he could call a taxi",1,93.3333333333333
"153","2_1","call a taxi",2,104,3,"Call a taxi",1,100
"154","2_1","call a taxi",2,11,4,"Tow his car and take an uber to the airport",1,100
"155","2_1","call a taxi",2,12,4,"he should book a taxi",1,50.3333333333333
"156","2_1","call a taxi",2,13,4,"Call an uber and have his car towed after.",1,97
"157","2_1","call a taxi",2,27,4,"take a taxi",1,51.3333333333333
"158","2_1","call a taxi",2,30,4,"call an Uber",1,75.6666666666667
"159","2_1","call a taxi",2,31,4,"Call an Uber",1,87
"160","2_1","call a taxi",2,42,4,"call a taxi",1,98.3333333333333
"161","2_1","call a taxi",2,55,4,"Josh could flag down a taxi",1,58.3333333333333
"162","2_1","call a taxi",2,65,4,"Get an Uber",1,90
"163","2_1","call a taxi",2,69,4,"Call for an taxi",1,93.3333333333333
"164","2_1","call a taxi",2,78,4,"call for a taxi/uber",1,95
"165","2_1","call a taxi",2,9,5,"Call a Taxi",1,100
"166","2_1","call a taxi",2,27,5,"use a ridesharing app",1,87
"167","2_1","call a taxi",2,41,5,"call a cab",1,87
"168","2_1","call a taxi",2,46,5,"Josh could call an Uber.",1,90.6666666666667
"169","2_1","call a taxi",2,61,5,"He tried catch the lift ",1,44
"170","2_1","call a taxi",2,73,5,"Call a cab (and a towtruck)",1,84.3333333333333
"171","2_1","call a taxi",2,94,5,"call an uber",1,93.3333333333333
"172","2_1","call a taxi",2,99,5,"call an uber to get a ride",1,100
"173","3_1","put his own money in",3,3,1,"Replace the money with his own",1,63.3333333333333
"174","3_1","put his own money in",3,5,1,"Put his own money in",1,96
"175","3_1","put his own money in",3,7,1,"Brian could put in some money from his own pocket",1,56.6666666666667
"176","3_1","put his own money in",3,12,1,"he should try to pay for it",1,49
"177","3_1","put his own money in",3,15,1,"use his own money to cover the shortfall",1,45.6666666666667
"178","3_1","put his own money in",3,16,1,"Add additional money from own fund",1,77.6666666666667
"179","3_1","put his own money in",3,19,1,"Replace the money with his own funds.",1,55.3333333333333
"180","3_1","put his own money in",3,20,1,"pay the money back on his own",1,48.3333333333333
"181","3_1","put his own money in",3,21,1,"pay out of his own pocket",1,63
"182","3_1","put his own money in",3,23,1,"Pay it back out of his pocket.",1,57.3333333333333
"183","3_1","put his own money in",3,24,1,"pay it himself",1,61.3333333333333
"184","3_1","put his own money in",3,26,1,"use his own money",1,93.3333333333333
"185","3_1","put his own money in",3,27,1,"put his own money in",1,63
"186","3_1","put his own money in",3,29,1,"put his own money in",1,63.6666666666667
"187","3_1","put his own money in",3,30,1,"put money in the register",1,81.6666666666667
"188","3_1","put his own money in",3,37,1,"Take money his own pocket, tell no one, make difference up.",1,49
"189","3_1","put his own money in",3,39,1,"Put his own money into the register.",1,97
"190","3_1","put his own money in",3,44,1,"Take money from his own pocket",1,37.3333333333333
"191","3_1","put his own money in",3,45,1,"Put money of his own in the register.",1,0
"192","3_1","put his own money in",3,47,1,"Put his own money in register",1,69
"193","3_1","put his own money in",3,49,1,"Put his own cash in the register",1,83.6666666666667
"194","3_1","put his own money in",3,50,1,"He could go to the bank and replace the money",1,91
"195","3_1","put his own money in",3,52,1,"take money from his own pocket to put in the register",1,6.33333333333333
"196","3_1","put his own money in",3,53,1,"Put his own money into the register to make up the difference.",1,52
"197","3_1","put his own money in",3,54,1,"Put his own money into the register so he is not inconvenienced. ",1,6.66666666666667
"198","3_1","put his own money in",3,58,1,"put money in himself",1,99
"199","3_1","put his own money in",3,59,1,"Pay the difference out of his own pocket.",1,68.3333333333333
"200","3_1","put his own money in",3,60,1,"replace the cash",1,74.3333333333333
"201","3_1","put his own money in",3,63,1,"take money out of his own wallet to make up the balance",1,91.6666666666667
"202","3_1","put his own money in",3,65,1,"Make up for it with his own money",1,10
"203","3_1","put his own money in",3,66,1,"Add the money from his wallet",1,31.6666666666667
"204","3_1","put his own money in",3,68,1,"Put money in himself",1,90
"205","3_1","put his own money in",3,70,1,"pay the money out of his own pocket",1,35
"206","3_1","put his own money in",3,72,1,"Take it out of his wallet",1,88.6666666666667
"207","3_1","put his own money in",3,74,1,"Put his own money in the register to make up the missing amount.",1,82.3333333333333
"208","3_1","put his own money in",3,76,1,"Put his own money in the register",1,33
"209","3_1","put his own money in",3,77,1,"pay the difference out of his pocket",1,43.6666666666667
"210","3_1","put his own money in",3,79,1,"Put in his own money",1,31.6666666666667
"211","3_1","put his own money in",3,80,1,"Put $50.75 of his own money in the register.",1,30
"212","3_1","put his own money in",3,81,1,"Put $50.75 of his own money in the register.",1,3.66666666666667
"213","3_1","put his own money in",3,84,1,"pay for the difference himself",1,80
"214","3_1","put his own money in",3,85,1,"put the money in the register.",1,34.6666666666667
"215","3_1","put his own money in",3,96,1,"Replace the money with his own money",1,41.6666666666667
"216","3_1","put his own money in",3,97,1,"Pay for the $50.75 out of pocket",1,41.3333333333333
"217","3_1","put his own money in",3,98,1,"Brian could replace it with his personal money",1,90.3333333333333
"218","3_1","put his own money in",3,99,1,"He could pay the money himself",1,52
"219","3_1","put his own money in",3,102,1,"He could pay the debt owed out of his own pocket.",1,54.3333333333333
"220","3_1","put his own money in",3,1,2,"Use his own money.",1,43.3333333333333
"221","3_1","put his own money in",3,6,2,"Pay the money himself",1,37
"222","3_1","put his own money in",3,8,2,"Supply the money out of his own pocket",1,68.3333333333333
"223","3_1","put his own money in",3,10,2,"Pay the difference out of his own pocket",1,60
"224","3_1","put his own money in",3,17,2,"take the money from his own pay to balance the register",1,100
"225","3_1","put his own money in",3,18,2,"Brian can put his own money into the register to make up for it.",1,90
"226","3_1","put his own money in",3,25,2,"Take money from his next paycheck",1,80.3333333333333
"227","3_1","put his own money in",3,31,2,"Put the money in",1,67
"228","3_1","put his own money in",3,32,2,"just replace the money out of his own",1,65
"229","3_1","put his own money in",3,34,2,"Use his own money to fill the register.",1,21.6666666666667
"230","3_1","put his own money in",3,38,2,"Use his own money to replace the money.",1,75.6666666666667
"231","3_1","put his own money in",3,41,2,"put money in from his wallet",1,44.3333333333333
"232","3_1","put his own money in",3,48,2,"use his own pocket money ",1,63.6666666666667
"233","3_1","put his own money in",3,50,2,"He could tell his boss to take it from his check",1,92.3333333333333
"234","3_1","put his own money in",3,51,2,"Take the money from his wallet and make the register whole.",1,28
"235","3_1","put his own money in",3,55,2,"Brad could put his own money in the register to cover the difference",1,32
"236","3_1","put his own money in",3,56,2,"Throw in the money himself.",1,61.3333333333333
"237","3_1","put his own money in",3,62,2,"Put his own money in",1,63.3333333333333
"238","3_1","put his own money in",3,75,2,"Provide the missing money out of his own money",1,50
"239","3_1","put his own money in",3,90,2,"repay the balance himself",1,69
"240","3_1","put his own money in",3,92,2,"Use his own money to balance the register",1,40
"241","3_1","put his own money in",3,95,2,"pay the money out of his own pocket",1,20
"242","3_1","put his own money in",3,101,2,"pay the missing amount",1,75.3333333333333
"243","3_1","put his own money in",3,103,2,"put his own money in the register",1,52.3333333333333
"244","3_1","put his own money in",3,2,3,"cover the difference with his own money",1,62.6666666666667
"245","3_1","put his own money in",3,9,3,"Put $50.75 of his own money into the register",1,75
"246","3_1","put his own money in",3,25,3,"Take the money from his own wallet",1,81.6666666666667
"247","3_1","put his own money in",3,28,3,"Add in the own money personally",1,23.6666666666667
"248","3_1","put his own money in",3,35,3,"Use his own money to cover the difference",1,8.33333333333333
"249","3_1","put his own money in",3,40,3,"pay it back",1,77
"250","3_1","put his own money in",3,43,3,"Puts in the missing amount himself.",1,88.3333333333333
"251","3_1","put his own money in",3,61,3,"Recover the money on his own fund",1,46.3333333333333
"252","3_1","put his own money in",3,71,3,"Replace the money from his own pocket",1,56.3333333333333
"253","3_1","put his own money in",3,73,3,"Contribute the entire amount himself to solve the problem",1,84
"254","3_1","put his own money in",3,78,3,"put 50 of his own in to make the cover",1,98.3333333333333
"255","3_1","put his own money in",3,94,3,"replace the money out of his own pocket",1,18.6666666666667
"256","3_1","put his own money in",3,100,3,"Add his own money to make up for it.",1,55
"257","3_1","put his own money in",3,104,3,"Replace money from own pocket",1,48.3333333333333
"258","3_1","put his own money in",3,12,4,"he should try to balance the missing money",1,57.3333333333333
"259","3_1","put his own money in",3,13,4,"Put the money in the register himself.",1,80.3333333333333
"260","3_1","put his own money in",3,14,4,"put his own money in the drawer to make up for the loss",1,39.3333333333333
"261","3_1","put his own money in",3,22,4,"just put the money in myself",1,50.6666666666667
"262","3_1","put his own money in",3,61,4,"Or reduce his salary",1,32.3333333333333
"263","3_1","put his own money in",3,69,4,"Offer to replace the money since he was in charge",1,88.3333333333333
"264","3_1","put his own money in",3,11,5,"Put his own personal money into the register",1,10
"265","3_1","put his own money in",3,33,5,"Replace the money out of his own pocket. ",1,81
"266","3_1","put his own money in",3,42,5,"add back the money to make it balance",1,36.6666666666667
"267","3_1","put his own money in",3,46,5,"Brian could choose to cover the missing money with his.",1,51.3333333333333
"268","4_1","renew her membership",4,2,1,"reactivate her membership",1,74.3333333333333
"269","4_1","renew her membership",4,6,1,"Pay her bill",1,69.3333333333333
"270","4_1","renew her membership",4,20,1,"pay to reestablish her membership",1,95
"271","4_1","renew her membership",4,25,1,"Renew the membership",1,81
"272","4_1","renew her membership",4,26,1,"get a new membership",1,94
"273","4_1","renew her membership",4,31,1,"Renew her membership",1,79.6666666666667
"274","4_1","renew her membership",4,33,1,"Renew her membership.",1,100
"275","4_1","renew her membership",4,35,1,"Purchase a new membership",1,90
"276","4_1","renew her membership",4,36,1,"Renew her membership",1,100
"277","4_1","renew her membership",4,43,1,"Renew her member ship on the spot.",1,100
"278","4_1","renew her membership",4,47,1,"Buy a new membership",1,100
"279","4_1","renew her membership",4,53,1,"Renew her membership.",1,78.6666666666667
"280","4_1","renew her membership",4,56,1,"No phone but has her wallet, then pay for her membership then and there.",1,100
"281","4_1","renew her membership",4,63,1,"renew her membership",1,97.3333333333333
"282","4_1","renew her membership",4,64,1,"buy a membership",1,92.3333333333333
"283","4_1","renew her membership",4,68,1,"Renew membership ",1,100
"284","4_1","renew her membership",4,69,1,"Renew her membership",1,100
"285","4_1","renew her membership",4,73,1,"Pay for her membership and go on in.",1,100
"286","4_1","renew her membership",4,75,1,"Renew her membership",1,100
"287","4_1","renew her membership",4,77,1,"get a new membership",1,66
"288","4_1","renew her membership",4,78,1,"pay the renewal",1,100
"289","4_1","renew her membership",4,90,1,"buy a membership",1,69.6666666666667
"290","4_1","renew her membership",4,93,1,"Pay her membership so she can go in",1,87.6666666666667
"291","4_1","renew her membership",4,94,1,"renew her membership",1,86.6666666666667
"292","4_1","renew her membership",4,98,1,"Liz could renew her membership immediately",1,96
"293","4_1","renew her membership",4,100,1,"Renew her membership.",1,97
"294","4_1","renew her membership",4,101,1,"buy a new membership",1,93
"295","4_1","renew her membership",4,104,1,"get a new membership",1,100
"296","4_1","renew her membership",4,4,2,"Go to the gym and update her membership",1,99
"297","4_1","renew her membership",4,9,2,"Renew her membership",1,100
"298","4_1","renew her membership",4,10,2,"Renew her membership",1,97
"299","4_1","renew her membership",4,19,2,"Update her gym membership.",1,72
"300","4_1","renew her membership",4,27,2,"pay for a new membership",1,88.6666666666667
"301","4_1","renew her membership",4,48,2,"going online to renew the membership before she goes there",1,70.6666666666667
"302","4_1","renew her membership",4,55,2,"She could renew her membership on the spot",1,62.6666666666667
"303","4_1","renew her membership",4,58,2,"renew membership",1,100
"304","4_1","renew her membership",4,65,2,"See if she can reapply",1,100
"305","4_1","renew her membership",4,76,2,"Renew her membership",1,98
"306","4_1","renew her membership",4,79,2,"Purchase another membership",1,56.6666666666667
"307","4_1","renew her membership",4,84,2,"renew the membership",1,91
"308","4_1","renew her membership",4,89,2,"renew membership",1,85.3333333333333
"309","4_1","renew her membership",4,92,2,"buy a new membership",1,83.3333333333333
"310","4_1","renew her membership",4,5,3,"Renew her membership now",1,93.3333333333333
"311","4_1","renew her membership",4,7,3,"Liz can renew her membership",1,93.3333333333333
"312","4_1","renew her membership",4,14,3,"go to the gym and renew her memebership",1,91.3333333333333
"313","4_1","renew her membership",4,15,3,"see if the gym will let her in so she can re-up her membership",1,94
"314","4_1","renew her membership",4,23,3,"Pay for a new membership.",1,73.3333333333333
"315","4_1","renew her membership",4,30,3,"renew her membership",1,67
"316","4_1","renew her membership",4,32,3,"ask to renew her membership",1,97
"317","4_1","renew her membership",4,37,3,"See if she can afford to renew her membership on the spot.",1,100
"318","4_1","renew her membership",4,38,3,"Pay for a new membership.",1,100
"319","4_1","renew her membership",4,40,3,"pay for membership",1,70.3333333333333
"320","4_1","renew her membership",4,47,3,"Renew membership",1,100
"321","4_1","renew her membership",4,49,3,"Get a new membership",1,93.6666666666667
"322","4_1","renew her membership",4,66,3,"Renew the membership",1,96.6666666666667
"323","4_1","renew her membership",4,67,3,"renew her membership using existing payment info",1,92
"324","4_1","renew her membership",4,69,3,"wait for her friend and play with renewed membership",1,100
"325","4_1","renew her membership",4,70,3,"renew her membership at the front desk",1,100
"326","4_1","renew her membership",4,80,3,"Renew her membership.",1,86.6666666666667
"327","4_1","renew her membership",4,81,3,"Renew her membership.",1,93.3333333333333
"328","4_1","renew her membership",4,83,3,"Pay for new memebership",1,100
"329","4_1","renew her membership",4,11,4,"Pay for a new membership",1,90
"330","4_1","renew her membership",4,13,4,"Ask the gym to use the credit card on file from her last membership.",1,94
"331","4_1","renew her membership",4,18,4,"Liz can renew her gym membership.",1,96.6666666666667
"332","4_1","renew her membership",4,29,4,"renew her membership",1,93.6666666666667
"333","4_1","renew her membership",4,42,4,"pay for her new membership",1,96.6666666666667
"334","4_1","renew her membership",4,50,4,"she can buy a new membership",1,89.3333333333333
"335","4_1","renew her membership",4,59,4,"Pay for a new membership.",1,94
"336","4_1","renew her membership",4,62,4,"Pay for a new membership",1,95
"337","4_1","renew her membership",4,71,4,"Renew her membership",1,86.3333333333333
"338","4_1","renew her membership",4,72,4,"Try to get her membership card renewed",1,85
"339","4_1","renew her membership",4,74,4,"Renew her membership while she's there at the gym.",1,90
"340","4_1","renew her membership",4,85,4,"renew her gym membership.",1,100
"341","4_1","renew her membership",4,96,4,"renew her membership",1,66.6666666666667
"342","4_1","renew her membership",4,97,4,"pay for another membership ",1,83.6666666666667
"343","4_1","renew her membership",4,103,4,"renew her membership",1,96
"344","4_1","renew her membership",4,8,5,"Quickly renew her membership",1,74.3333333333333
"345","4_1","renew her membership",4,16,5,"Renew your membership",1,91
"346","4_1","renew her membership",4,17,5,"ask to see a manager and renew her membership",1,92.3333333333333
"347","4_1","renew her membership",4,21,5,"she could renew her membership",1,93.3333333333333
"348","4_1","renew her membership",4,44,5,"Renew her membership there",1,81
"349","4_1","renew her membership",4,54,5,"Go ahead and pay to renew the membership so she can play. ",1,100
"350","5_1","tell the teacher the truth",5,2,1,"explain the situation to the teacher",1,96.3333333333333
"351","5_1","tell the teacher the truth",5,3,1,"Tell the teacher the truth and ask for a delay",1,90
"352","5_1","tell the teacher the truth",5,4,1,"Explain the situation to the teacher",1,100
"353","5_1","tell the teacher the truth",5,7,1,"Mary could explain the situation to her teacher",1,100
"354","5_1","tell the teacher the truth",5,8,1,"Explain to the teacher exactly what happened",1,96.3333333333333
"355","5_1","tell the teacher the truth",5,9,1,"Explain the situation to her teacher",1,100
"356","5_1","tell the teacher the truth",5,14,1,"tell the teacher what happened",1,94
"357","5_1","tell the teacher the truth",5,15,1,"explain the situation to her teacher",1,99.6666666666667
"358","5_1","tell the teacher the truth",5,18,1,"Mary can explain what happened to her teacher.",1,88.3333333333333
"359","5_1","tell the teacher the truth",5,19,1,"Explain what happened to the instructor.",1,79.3333333333333
"360","5_1","tell the teacher the truth",5,20,1,"explain what happened to the teacher",1,99.3333333333333
"361","5_1","tell the teacher the truth",5,21,1,"tell the teacher what happened",1,72.3333333333333
"362","5_1","tell the teacher the truth",5,22,1,"explain to the teacher just what happened",1,100
"363","5_1","tell the teacher the truth",5,23,1,"Explain to her teacher.",1,85
"364","5_1","tell the teacher the truth",5,25,1,"Explain the situation to the teacher",1,79
"365","5_1","tell the teacher the truth",5,27,1,"tell the teacher the truth",1,97.3333333333333
"366","5_1","tell the teacher the truth",5,31,1,"Tell the teacher",1,80.6666666666667
